ano,sexo,gr_et,edad_grupo,conteo_defunciones
1979,1,1,2,1
1979,1,1,4,9
1979,1,1,5,31
1979,1,1,6,42
1979,1,1,7,14
1979,1,2,8,23
1979,1,3,9,15
1979,1,4,10,24
1979,1,5,11,51
1979,1,6,12,54
1979,1,7,13,44
1979,1,8,14,67
1979,1,9,15,56
1979,1,10,16,61
1979,1,11,17,87
1979,1,12,18,78
1979,1,13,19,85
1979,1,14,20,94
1979,1,15,21,70
1979,1,16,22,53
1979,1,17,23,36
1979,1,17,24,31
1979,2,1,4,10
1979,2,1,5,13
1979,2,1,6,41
1979,2,1,7,14
1979,2,2,8,18
1979,2,3,9,16
1979,2,4,10,24
1979,2,5,11,39
1979,2,6,12,48
1979,2,7,13,44
1979,2,8,14,50
1979,2,9,15,44
1979,2,10,16,50
1979,2,11,17,56
1979,2,12,18,43
1979,2,13,19,51
1979,2,14,20,39
1979,2,15,21,48
1979,2,16,22,26
1979,2,17,23,16
1979,2,17,24,22
1980,1,1,2,1
1980,1,1,4,9
1980,1,1,5,22
1980,1,1,6,51
1980,1,1,7,13
1980,1,2,8,17
1980,1,3,9,6
1980,1,4,10,25
1980,1,5,11,47
1980,1,6,12,59
1980,1,7,13,48
1980,1,8,14,67
1980,1,9,15,76
1980,1,10,16,72
1980,1,11,17,86
1980,1,12,18,85
1980,1,13,19,101
1980,1,14,20,88
1980,1,15,21,95
1980,1,16,22,74
1980,1,17,23,36
1980,1,17,24,25
1980,2,1,2,1
1980,2,1,3,1
1980,2,1,4,9
1980,2,1,5,22
1980,2,1,6,18
1980,2,1,7,7
1980,2,2,8,21
1980,2,3,9,13
1980,2,4,10,18
1980,2,5,11,59
1980,2,6,12,50
1980,2,7,13,51
1980,2,8,14,42
1980,2,9,15,45
1980,2,10,16,55
1980,2,11,17,62
1980,2,12,18,50
1980,2,13,19,57
1980,2,14,20,42
1980,2,15,21,41
1980,2,16,22,43
1980,2,17,23,19
1980,2,17,24,22
1981,1,1,1,1
1981,1,1,2,2
1981,1,1,4,15
1981,1,1,5,19
1981,1,1,6,34
1981,1,1,7,13
1981,1,2,8,20
1981,1,3,9,21
1981,1,4,10,31
1981,1,5,11,45
1981,1,6,12,64
1981,1,7,13,60
1981,1,8,14,72
1981,1,9,15,76
1981,1,10,16,85
1981,1,11,17,85
1981,1,12,18,88
1981,1,13,19,102
1981,1,14,20,101
1981,1,15,21,105
1981,1,16,22,70
1981,1,17,23,46
1981,1,17,24,45
1981,2,1,3,1
1981,2,1,4,6
1981,2,1,5,23
1981,2,1,6,35
1981,2,1,7,14
1981,2,2,8,24
1981,2,3,9,14
1981,2,4,10,25
1981,2,5,11,45
1981,2,6,12,52
1981,2,7,13,40
1981,2,8,14,52
1981,2,9,15,47
1981,2,10,16,37
1981,2,11,17,52
1981,2,12,18,49
1981,2,13,19,59
1981,2,14,20,43
1981,2,15,21,41
1981,2,16,22,34
1981,2,17,23,25
1981,2,17,24,34
1982,1,1,3,1
1982,1,1,4,13
1982,1,1,5,11
1982,1,1,6,39
1982,1,1,7,6
1982,1,2,8,16
1982,1,3,9,13
1982,1,4,10,16
1982,1,5,11,42
1982,1,6,12,53
1982,1,7,13,65
1982,1,8,14,78
1982,1,9,15,80
1982,1,10,16,62
1982,1,11,17,108
1982,1,12,18,99
1982,1,13,19,109
1982,1,14,20,106
1982,1,15,21,105
1982,1,16,22,57
1982,1,17,23,41
1982,1,17,24,17
1982,2,1,2,1
1982,2,1,3,1
1982,2,1,4,9
1982,2,1,5,14
1982,2,1,6,38
1982,2,1,7,15
1982,2,2,8,19
1982,2,3,9,16
1982,2,4,10,29
1982,2,5,11,50
1982,2,6,12,39
1982,2,7,13,40
1982,2,8,14,45
1982,2,9,15,49
1982,2,10,16,51
1982,2,11,17,67
1982,2,12,18,51
1982,2,13,19,37
1982,2,14,20,38
1982,2,15,21,41
1982,2,16,22,37
1982,2,17,23,23
1982,2,17,24,16
1983,1,1,2,2
1983,1,1,4,4
1983,1,1,5,12
1983,1,1,6,31
1983,1,1,7,10
1983,1,2,8,13
1983,1,3,9,10
1983,1,4,10,20
1983,1,5,11,36
1983,1,6,12,53
1983,1,7,13,73
1983,1,8,14,53
1983,1,9,15,76
1983,1,10,16,83
1983,1,11,17,98
1983,1,12,18,89
1983,1,13,19,91
1983,1,14,20,94
1983,1,15,21,105
1983,1,16,22,55
1983,1,17,23,37
1983,1,17,24,50
1983,2,1,4,2
1983,2,1,5,17
1983,2,1,6,20
1983,2,1,7,8
1983,2,2,8,9
1983,2,3,9,10
1983,2,4,10,21
1983,2,5,11,44
1983,2,6,12,36
1983,2,7,13,44
1983,2,8,14,49
1983,2,9,15,49
1983,2,10,16,46
1983,2,11,17,53
1983,2,12,18,62
1983,2,13,19,59
1983,2,14,20,39
1983,2,15,21,52
1983,2,16,22,28
1983,2,17,23,24
1983,2,17,24,32
1984,1,1,2,1
1984,1,1,4,5
1984,1,1,5,14
1984,1,1,6,18
1984,1,1,7,9
1984,1,2,8,14
1984,1,3,9,11
1984,1,4,10,27
1984,1,5,11,52
1984,1,6,12,54
1984,1,7,13,63
1984,1,8,14,57
1984,1,9,15,61
1984,1,10,16,56
1984,1,11,17,92
1984,1,12,18,77
1984,1,13,19,96
1984,1,14,20,102
1984,1,15,21,103
1984,1,16,22,58
1984,1,17,23,38
1984,1,17,24,10
1984,2,1,1,1
1984,2,1,4,6
1984,2,1,5,12
1984,2,1,6,13
1984,2,1,7,6
1984,2,2,8,19
1984,2,3,9,11
1984,2,4,10,19
1984,2,5,11,28
1984,2,6,12,43
1984,2,7,13,49
1984,2,8,14,35
1984,2,9,15,25
1984,2,10,16,42
1984,2,11,17,46
1984,2,12,18,46
1984,2,13,19,45
1984,2,14,20,39
1984,2,15,21,50
1984,2,16,22,26
1984,2,17,23,24
1984,2,17,24,18
1985,1,1,2,1
1985,1,1,3,1
1985,1,1,4,9
1985,1,1,5,14
1985,1,1,6,18
1985,1,1,7,10
1985,1,2,8,19
1985,1,3,9,10
1985,1,4,10,25
1985,1,5,11,30
1985,1,6,12,44
1985,1,7,13,77
1985,1,8,14,62
1985,1,9,15,75
1985,1,10,16,51
1985,1,11,17,90
1985,1,12,18,93
1985,1,13,19,119
1985,1,14,20,114
1985,1,15,21,116
1985,1,16,22,87
1985,1,17,23,53
1985,1,17,24,30
1985,2,1,4,6
1985,2,1,5,11
1985,2,1,6,19
1985,2,1,7,5
1985,2,2,8,14
1985,2,3,9,4
1985,2,4,10,26
1985,2,5,11,30
1985,2,6,12,37
1985,2,7,13,44
1985,2,8,14,49
1985,2,9,15,47
1985,2,10,16,39
1985,2,11,17,40
1985,2,12,18,56
1985,2,13,19,60
1985,2,14,20,68
1985,2,15,21,45
1985,2,16,22,22
1985,2,17,23,23
1985,2,17,24,14
1986,1,1,2,2
1986,1,1,4,6
1986,1,1,5,7
1986,1,1,6,11
1986,1,1,7,10
1986,1,2,8,15
1986,1,3,9,7
1986,1,4,10,10
1986,1,5,11,28
1986,1,6,12,58
1986,1,7,13,73
1986,1,8,14,68
1986,1,9,15,69
1986,1,10,16,59
1986,1,11,17,77
1986,1,12,18,83
1986,1,13,19,95
1986,1,14,20,98
1986,1,15,21,94
1986,1,16,22,78
1986,1,17,23,41
1986,1,17,24,38
1986,2,1,4,2
1986,2,1,5,12
1986,2,1,6,17
1986,2,1,7,5
1986,2,2,8,10
1986,2,3,9,9
1986,2,4,10,18
1986,2,5,11,31
1986,2,6,12,52
1986,2,7,13,43
1986,2,8,14,38
1986,2,9,15,38
1986,2,10,16,32
1986,2,11,17,42
1986,2,12,18,39
1986,2,13,19,43
1986,2,14,20,46
1986,2,15,21,27
1986,2,16,22,28
1986,2,17,23,20
1986,2,17,24,22
1987,1,1,2,1
1987,1,1,4,6
1987,1,1,5,8
1987,1,1,6,16
1987,1,1,7,6
1987,1,2,8,11
1987,1,3,9,5
1987,1,4,10,23
1987,1,5,11,35
1987,1,6,12,30
1987,1,7,13,69
1987,1,8,14,79
1987,1,9,15,60
1987,1,10,16,78
1987,1,11,17,97
1987,1,12,18,99
1987,1,13,19,95
1987,1,14,20,92
1987,1,15,21,94
1987,1,16,22,69
1987,1,17,23,44
1987,1,17,24,19
1987,2,1,4,4
1987,2,1,5,2
1987,2,1,6,12
1987,2,1,7,5
1987,2,2,8,14
1987,2,3,9,4
1987,2,4,10,14
1987,2,5,11,39
1987,2,6,12,45
1987,2,7,13,42
1987,2,8,14,40
1987,2,9,15,44
1987,2,10,16,41
1987,2,11,17,44
1987,2,12,18,31
1987,2,13,19,37
1987,2,14,20,44
1987,2,15,21,42
1987,2,16,22,29
1987,2,17,23,22
1987,2,17,24,17
1988,1,1,1,1
1988,1,1,4,3
1988,1,1,5,3
1988,1,1,6,19
1988,1,1,7,8
1988,1,2,8,8
1988,1,3,9,9
1988,1,4,10,19
1988,1,5,11,30
1988,1,6,12,47
1988,1,7,13,69
1988,1,8,14,71
1988,1,9,15,57
1988,1,10,16,55
1988,1,11,17,67
1988,1,12,18,94
1988,1,13,19,92
1988,1,14,20,109
1988,1,15,21,81
1988,1,16,22,69
1988,1,17,23,34
1988,1,17,24,32
1988,2,1,2,1
1988,2,1,4,2
1988,2,1,5,7
1988,2,1,6,9
1988,2,1,7,3
1988,2,2,8,9
1988,2,3,9,7
1988,2,4,10,18
1988,2,5,11,30
1988,2,6,12,35
1988,2,7,13,34
1988,2,8,14,37
1988,2,9,15,36
1988,2,10,16,46
1988,2,11,17,40
1988,2,12,18,41
1988,2,13,19,37
1988,2,14,20,37
1988,2,15,21,39
1988,2,16,22,36
1988,2,17,23,22
1988,2,17,24,22
1989,1,1,4,5
1989,1,1,5,5
1989,1,1,6,5
1989,1,1,7,5
1989,1,2,8,7
1989,1,3,9,5
1989,1,4,10,13
1989,1,5,11,33
1989,1,6,12,52
1989,1,7,13,53
1989,1,8,14,66
1989,1,9,15,51
1989,1,10,16,66
1989,1,11,17,73
1989,1,12,18,75
1989,1,13,19,78
1989,1,14,20,90
1989,1,15,21,78
1989,1,16,22,53
1989,1,17,23,40
1989,1,17,24,21
1989,2,1,1,1
1989,2,1,3,1
1989,2,1,4,4
1989,2,1,5,2
1989,2,1,6,11
1989,2,1,7,7
1989,2,2,8,3
1989,2,3,9,2
1989,2,4,10,12
1989,2,5,11,16
1989,2,6,12,27
1989,2,7,13,31
1989,2,8,14,35
1989,2,9,15,35
1989,2,10,16,45
1989,2,11,17,40
1989,2,12,18,39
1989,2,13,19,31
1989,2,14,20,29
1989,2,15,21,36
1989,2,16,22,28
1989,2,17,23,16
1989,2,17,24,23
1990,1,1,4,5
1990,1,1,5,8
1990,1,1,6,9
1990,1,1,7,3
1990,1,2,8,13
1990,1,3,9,11
1990,1,4,10,13
1990,1,5,11,24
1990,1,6,12,33
1990,1,7,13,40
1990,1,8,14,56
1990,1,9,15,44
1990,1,10,16,53
1990,1,11,17,51
1990,1,12,18,65
1990,1,13,19,66
1990,1,14,20,81
1990,1,15,21,68
1990,1,16,22,64
1990,1,17,23,38
1990,1,17,24,25
1990,2,1,2,1
1990,2,1,4,1
1990,2,1,5,5
1990,2,1,6,7
1990,2,1,7,3
1990,2,2,8,3
1990,2,3,9,2
1990,2,4,10,7
1990,2,5,11,20
1990,2,6,12,25
1990,2,7,13,29
1990,2,8,14,23
1990,2,9,15,24
1990,2,10,16,26
1990,2,11,17,31
1990,2,12,18,28
1990,2,13,19,34
1990,2,14,20,40
1990,2,15,21,24
1990,2,16,22,32
1990,2,17,23,21
1990,2,17,24,24
1991,1,1,3,1
1991,1,1,5,4
1991,1,1,6,5
1991,1,1,7,7
1991,1,2,8,11
1991,1,3,9,4
1991,1,4,10,9
1991,1,5,11,25
1991,1,6,12,33
1991,1,7,13,52
1991,1,8,14,44
1991,1,9,15,53
1991,1,10,16,44
1991,1,11,17,51
1991,1,12,18,67
1991,1,13,19,76
1991,1,14,20,80
1991,1,15,21,78
1991,1,16,22,50
1991,1,17,23,44
1991,1,17,24,25
1991,2,1,4,2
1991,2,1,5,2
1991,2,1,6,6
1991,2,1,7,11
1991,2,2,8,6
1991,2,3,9,7
1991,2,4,10,16
1991,2,5,11,19
1991,2,6,12,20
1991,2,7,13,29
1991,2,8,14,40
1991,2,9,15,30
1991,2,10,16,20
1991,2,11,17,26
1991,2,12,18,25
1991,2,13,19,35
1991,2,14,20,30
1991,2,15,21,35
1991,2,16,22,31
1991,2,17,23,29
1991,2,17,24,13
1992,1,1,4,1
1992,1,1,5,5
1992,1,1,6,5
1992,1,1,7,9
1992,1,2,8,1
1992,1,3,9,5
1992,1,4,10,11
1992,1,5,11,21
1992,1,6,12,30
1992,1,7,13,47
1992,1,8,14,52
1992,1,9,15,52
1992,1,10,16,46
1992,1,11,17,53
1992,1,12,18,67
1992,1,13,19,71
1992,1,14,20,70
1992,1,15,21,97
1992,1,16,22,66
1992,1,17,23,50
1992,1,17,24,26
1992,2,1,4,1
1992,2,1,5,3
1992,2,1,6,7
1992,2,1,7,8
