ano,sexo,gr_et,conteo_defunciones
1979,1,1,97
1979,1,2,23
1979,1,3,15
1979,1,4,24
1979,1,5,51
1979,1,6,54
1979,1,7,44
1979,1,8,67
1979,1,9,56
1979,1,10,61
1979,1,11,87
1979,1,12,78
1979,1,13,85
1979,1,14,94
1979,1,15,70
1979,1,16,53
1979,1,17,67
1979,2,1,78
1979,2,2,18
1979,2,3,16
1979,2,4,24
1979,2,5,39
1979,2,6,48
1979,2,7,44
1979,2,8,50
1979,2,9,44
1979,2,10,50
1979,2,11,56
1979,2,12,43
1979,2,13,51
1979,2,14,39
1979,2,15,48
1979,2,16,26
1979,2,17,38
1980,1,1,96
1980,1,2,17
1980,1,3,6
1980,1,4,25
1980,1,5,47
1980,1,6,59
1980,1,7,48
1980,1,8,67
1980,1,9,76
1980,1,10,72
1980,1,11,86
1980,1,12,85
1980,1,13,101
1980,1,14,88
1980,1,15,95
1980,1,16,74
1980,1,17,61
1980,2,1,58
1980,2,2,21
1980,2,3,13
1980,2,4,18
1980,2,5,59
1980,2,6,50
1980,2,7,51
1980,2,8,42
1980,2,9,45
1980,2,10,55
1980,2,11,62
1980,2,12,50
1980,2,13,57
1980,2,14,42
1980,2,15,41
1980,2,16,43
1980,2,17,41
1981,1,1,84
1981,1,2,20
1981,1,3,21
1981,1,4,31
1981,1,5,45
1981,1,6,64
1981,1,7,60
1981,1,8,72
1981,1,9,76
1981,1,10,85
1981,1,11,85
1981,1,12,88
1981,1,13,102
1981,1,14,101
1981,1,15,105
1981,1,16,70
1981,1,17,91
1981,2,1,79
1981,2,2,24
1981,2,3,14
1981,2,4,25
1981,2,5,45
1981,2,6,52
1981,2,7,40
1981,2,8,52
1981,2,9,47
1981,2,10,37
1981,2,11,52
1981,2,12,49
1981,2,13,59
1981,2,14,43
1981,2,15,41
1981,2,16,34
1981,2,17,59
1982,1,1,70
1982,1,2,16
1982,1,3,13
1982,1,4,16
1982,1,5,42
1982,1,6,53
1982,1,7,65
1982,1,8,78
1982,1,9,80
1982,1,10,62
1982,1,11,108
1982,1,12,99
1982,1,13,109
1982,1,14,106
1982,1,15,105
1982,1,16,57
1982,1,17,58
1982,2,1,78
1982,2,2,19
1982,2,3,16
1982,2,4,29
1982,2,5,50
1982,2,6,39
1982,2,7,40
1982,2,8,45
