ano,gr_et,conteo_defunciones
1979,1,175
1979,2,41
1979,3,31
1979,4,48
1979,5,90
1979,6,102
1979,7,88
1979,8,117
1979,9,100
1979,10,111
1979,11,143
1979,12,121
1979,13,136
1979,14,133
1979,15,118
1979,16,79
1979,17,105
1980,1,154
1980,2,38
1980,3,19
1980,4,43
1980,5,106
1980,6,109
1980,7,99
1980,8,109
1980,9,121
1980,10,127
1980,11,148
1980,12,135
1980,13,158
1980,14,130
1980,15,136
1980,16,117
1980,17,102
1981,1,163
1981,2,44
1981,3,35
1981,4,56
1981,5,90
1981,6,116
1981,7,100
1981,8,124
1981,9,123
1981,10,122
1981,11,137
1981,12,137
1981,13,161
1981,14,144
1981,15,146
1981,16,104
1981,17,150
1982,1,148
1982,2,35
1982,3,29
1982,4,45
1982,5,92
1982,6,92
1982,7,105
1982,8,123
1982,9,129
1982,10,113
1982,11,175
1982,12,150
1982,13,146
1982,14,144
1982,15,146
1982,16,94
1982,17,97
1983,1,106
1983,2,22
1983,3,20
1983,4,41
1983,5,80
1983,6,89
1983,7,117
1983,8,102
1983,9,125
1983,10,129
1983,11,151
1983,12,151
1983,13,150
1983,14,133
1983,15,157
1983,16,83
1983,17,143
1984,1,85
1984,2,33
1984,3,22
1984,4,46
1984,5,80
1984,6,97
1984,7,112
1984,8,92
1984,9,86
1984,10,98
1984,11,138
1984,12,123
1984,13,141
1984,14,141
1984,15,153
1984,16,84
1984,17,90
1985,1,94
1985,2,33
1985,3,14
1985,4,51
1985,5,60
1985,6,81
1985,7,121
1985,8,111
1985,9,122
1985,10,90
1985,11,130
1985,12,149
1985,13,179
1985,14,182
1985,15,161
1985,16,109
1985,17,120
1986,1,72
1986,2,25
1986,3,16
1986,4,28
1986,5,59
1986,6,110
1986,7,116
1986,8,106
1986,9,107
1986,10,91
1986,11,119
1986,12,122
1986,13,138
1986,14,144
1986,15,121
1986,16,106
1986,17,121
1987,1,60
1987,2,25
1987,3,9
1987,4,37
1987,5,74
1987,6,75
1987,7,111
1987,8,119
1987,9,104
1987,10,119
1987,11,141
1987,12,130
1987,13,132
1987,14,136
1987,15,136
1987,16,98
1987,17,102
1988,1,56
1988,2,17
1988,3,16
1988,4,37
1988,5,60
1988,6,82
1988,7,103
1988,8,108
1988,9,93
1988,10,101
1988,11,107
1988,12,135
1988,13,129
1988,14,146
1988,15,120
1988,16,105
1988,17,110
1989,1,46
1989,2,10
1989,3,7
1989,4,25
1989,5,49
1989,6,79
1989,7,84
1989,8,101
1989,9,86
1989,10,111
1989,11,113
1989,12,114
1989,13,109
1989,14,119
1989,15,114
1989,16,81
1989,17,100
1990,1,42
1990,2,16
1990,3,13
1990,4,20
1990,5,44
1990,6,58
1990,7,69
1990,8,79
1990,9,68
1990,10,79
1990,11,82
1990,12,93
1990,13,100
1990,14,121
1990,15,92
1990,16,96
1990,17,108
1991,1,38
1991,2,17
1991,3,11
1991,4,25
1991,5,44
1991,6,53
1991,7,81
1991,8,84
1991,9,83
1991,10,64
1991,11,77
1991,12,92
1991,13,111
1991,14,110
1991,15,113
1991,16,81
1991,17,111
1992,1,39
1992,2,7
1992,3,9
1992,4,25
1992,5,46
1992,6,56
1992,7,77
1992,8,88
1992,9,79
1992,10,71
1992,11,74
1992,12,99
1992,13,102
1992,14,106
1992,15,132
1992,16,96
1992,17,106
1993,1,35
1993,2,14
1993,3,8
1993,4,22
1993,5,42
1993,6,49
1993,7,80
1993,8,92
1993,9,93
1993,10,90
1993,11,116
1993,12,106
1993,13,120
1993,14,138
1993,15,104
1993,16,103
1993,17,119
1994,1,27
1994,2,12
1994,3,7
1994,4,25
