ano,sexo,gr_et,poblacion,conteo_defunciones,tasa_x100k,tasa,t
1979,1,1,1795941,97.0,5.401068297900655,5.401068297900655e-05,1
1979,1,2,1699786,23.0,1.3531115093311745,1.3531115093311746e-05,1
1979,1,3,1700245,15.0,0.882225796870451,8.82225796870451e-06,1
1979,1,4,1565569,24.0,1.5329889643956927,1.5329889643956927e-05,1
1979,1,5,1319364,51.0,3.865498831255059,3.865498831255059e-05,1
1979,1,6,1083295,54.0,4.984791769554923,4.984791769554923e-05,1
1979,1,7,898976,44.0,4.894457694087495,4.894457694087495e-05,1
1979,1,8,737176,67.0,9.088738645859333,9.088738645859333e-05,1
1979,1,9,628117,56.0,8.915536436682974,8.915536436682974e-05,1
1979,1,10,548165,61.0,11.12803626645262,0.0001112803626645262,1
1979,1,11,449412,87.0,19.358628608047848,0.0001935862860804785,1
1979,1,12,352735,78.0,22.11291762938183,0.0002211291762938183,1
1979,1,13,283896,85.0,29.940541606785583,0.0002994054160678558,1
1979,1,14,218785,94.0,42.964554242749735,0.0004296455424274973,1
1979,1,15,154104,70.0,45.42386959455952,0.0004542386959455952,1
1979,1,16,104854,53.0,50.546474145001625,0.0005054647414500162,1
1979,1,17,95200,67.0,70.3781512605042,0.000703781512605042,1
1979,2,1,1773746,78.0,4.397472918895941,4.3974729188959414e-05,1
1979,2,2,1694843,18.0,1.0620452749900728,1.0620452749900728e-05,1
1979,2,3,1705112,16.0,0.938354782559738,9.38354782559738e-06,1
1979,2,4,1591851,24.0,1.5076787965707845,1.5076787965707846e-05,1
1979,2,5,1361451,39.0,2.8645907932051906,2.8645907932051906e-05,1
1979,2,6,1116875,48.0,4.29770565193061,4.29770565193061e-05,1
1979,2,7,902510,44.0,4.875292240529191,4.875292240529191e-05,1
1979,2,8,721030,50.0,6.934524222293108,6.934524222293108e-05,1
1979,2,9,591506,44.0,7.438639675675311,7.43863967567531e-05,1
1979,2,10,514176,50.0,9.724296738859845,9.724296738859846e-05,1
1979,2,11,419586,56.0,13.34648915836086,0.0001334648915836086,1
1979,2,12,324837,43.0,13.237408300162851,0.0001323740830016285,1
1979,2,13,257252,51.0,19.82491875670549,0.00019824918756705488,1
1979,2,14,196985,39.0,19.798461811813084,0.00019798461811813082,1
1979,2,15,140469,48.0,34.17124062960511,0.0003417124062960511,1
1979,2,16,106105,26.0,24.50402902784977,0.0002450402902784977,1
1979,2,17,112017,38.0,33.92342233768088,0.00033923422337680886,1
1980,1,1,1823085,96.0,5.265799455318868,5.2657994553188686e-05,2
1980,1,2,1692334,17.0,1.004529838672508,1.0045298386725079e-05,2
1980,1,3,1698306,6.0,0.3532932227761075,3.532932227761075e-06,2
1980,1,4,1597242,25.0,1.5651980100698581,1.565198010069858e-05,2
1980,1,5,1357916,47.0,3.4611861116593365,3.461186111659337e-05,2
1980,1,6,1113219,59.0,5.299945473442333,5.2999454734423326e-05,2
1980,1,7,926567,48.0,5.180413289055189,5.1804132890551896e-05,2
1980,1,8,759376,67.0,8.823033648679969,8.823033648679969e-05,2
1980,1,9,639397,76.0,11.886199028146832,0.00011886199028146832,2
1980,1,10,559496,72.0,12.868724709381299,0.000128687247093813,2
1980,1,11,463701,86.0,18.546434016747863,0.00018546434016747862,2
1980,1,12,363466,85.0,23.38595632053617,0.0002338595632053617,2
1980,1,13,289849,101.0,34.845730018043874,0.00034845730018043876,2
1980,1,14,224639,88.0,39.173963559310714,0.00039173963559310717,2
1980,1,15,156577,95.0,60.67302349642668,0.0006067302349642668,2
1980,1,16,105719,74.0,69.99687851757963,0.0006999687851757963,2
1980,1,17,99934,61.0,61.04028658914884,0.0006104028658914884,2
1980,2,1,1802720,58.0,3.21736043312328,3.21736043312328e-05,2
1980,2,2,1689398,21.0,1.2430463395836862,1.2430463395836861e-05,2
1980,2,3,1705366,13.0,0.7622997057523135,7.6229970575231355e-06,2
1980,2,4,1622932,18.0,1.1091037702134163,1.1091037702134162e-05,2
1980,2,5,1405431,59.0,4.198000471029884,4.1980004710298837e-05,2
1980,2,6,1157594,50.0,4.319303659141288,4.319303659141288e-05,2
1980,2,7,936863,51.0,5.443698811886049,5.4436988118860496e-05,2
1980,2,8,749860,42.0,5.601045528498653,5.601045528498653e-05,2
1980,2,9,607416,45.0,7.4084317831601405,7.40843178316014e-05,2
1980,2,10,525387,55.0,10.468473715565858,0.00010468473715565859,2
