gr_et,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,4.902390601753039,4.247332661298663,4.42056195919306,3.948396590826327,2.7878779908867948,2.2064843643326215,2.403795746918155,1.829664813029856,1.515381501081351,1.4045806887712553,1.1439985834313193,1.0341928789418138,0.9250214154629014,0.9379044713032496,0.8304510749240078,0.6339486548548727,0.6285641917688821,0.5090382047055492,0.39199084309390536,0.6223597253042474,0.6234791150660726,0.6496610161626379,0.5143021585962918,0.8499482475955908,0.6927447646411605,0.6534166673523508,0.6390278911096473,0.771010598411171,0.5031416162518767,0.8390200246112541,0.5646538979598541,0.33650876812423286,0.36534208414611075,0.31536497582858863,0.5815562604134918,0.2921597859053089,0.23985404082102574,0.2666065202357015,0.23923661192046924,0.3153281817467552,0.3668709264224634,0.18202204651027332,0.3129253013405459,0.44697237999909023,0.3186098415393953
2,1.2077903063928341,1.1236845498105703,1.3014232246073103,1.030616980327583,0.6414605707307955,0.9479013320886144,0.9283050331573679,0.6877785331114468,0.6738037759424561,0.45045045045045046,0.26164099663241874,0.4148893412335179,0.43809690703583637,0.17937582849210784,0.3566135770939967,0.3030864046299479,0.19988191975590422,0.22205033881180863,0.2434486744463125,0.19217981881286683,0.11879097397669891,0.16483262894856562,0.28080310624396126,0.27983286515740363,0.18650109720926752,0.07009429317966172,0.32888361631027824,0.16571032084122134,0.19121148970720503,0.14498983983697344,0.22001737648346717,0.22255644155000176,0.12499556265752566,0.02527166407084557,0.05106775005196143,0.07732516779561412,0.1559142565137728,0.05224731370436589,0.026171152533066594,0.0492190414690112,0.07389122521996187,0.12285259801303122,0.04932268851069896,0.024827295128264013,0.15015432110351415
3,0.9103304000138606,0.5582206511085674,1.031644060397749,0.8593560163811036,0.5964869898731422,0.6601180951272183,0.4240761349943386,0.4829953925258274,0.26932472212421793,0.47199951384050076,0.20263453847812776,0.36834510195934095,0.305007981504316,0.2446006446042321,0.21381158709133927,0.18476521092796477,0.20934111454256088,0.18205447433981198,0.1552244273576844,0.2314518356445085,0.2550993076094593,0.1767251020839929,0.27437079916481527,0.07387395773079887,0.26737980912970793,0.09613653695524532,0.16669123377945463,0.09458863167612475,0.2119466808090052,0.09408289173176027,0.18844741940103873,0.23650804387508023,0.07141590360757437,0.048028363630425584,0.04853083807176304,0.09816835037658606,0.0744532710176,0.10023068091211923,0.15151729418395815,0.14011633392151057,0.1396821671967605,0.13937881186531825,0.09338040328194765,0.11781349464042849,0.1189274174078818
4,1.5202285410240006,1.335331569039437,1.711484642634366,1.3588195541984807,1.2299359203385503,1.3762376415355702,1.5365782451252055,0.8452199941619447,1.1211302447306122,1.1264199360497913,0.7642186704734946,0.6124126240288666,0.763520341861652,0.7573441938510316,0.6572037295714196,0.7328635970821475,0.5737733371546638,0.8982937751890697,0.4953419964979321,0.5685665543702597,0.5885994703674947,0.5573705486994555,0.5543841623532499,0.7621103940557492,0.4966220551945752,0.3371315962065953,0.3335445782328808,0.43058021190118634,0.5496145827738299,0.4929344015221815,0.2921036354488209,0.33721085674439777,0.3584486343107033,0.2853928789720148,0.3324184702149489,0.28529530917452656,0.2863328328076342,0.4075269752892423,0.28918986591952855,0.3997185981069327,0.34740332228745174,0.41085290781145506,0.4770033288018017,0.5670935141741621,0.4545694227513814
5,3.357188019315022,3.8359279525879306,3.1638828013440174,3.1476601594495155,2.665127111571882,2.6021684520252837,1.9183726061507502,1.8555022876141765,2.2990719827010366,1.8497337924783657,1.5054780968298933,1.3524425265716535,1.3568650742621506,1.4255436977177975,1.3089470269138208,1.5653567761164124,1.3170665165628954,1.1569011184107054,1.0853352600618331,1.2232490718597668,1.2007432600779882,1.0874481735426211,1.15096784886411,1.439396334111548,1.1110956792266773,1.262661613824278,0.7621071609766294,0.86551844825525,0.9145323767324673,1.0423899917731374,0.9801031121452524,0.5235719966470449,0.7747501688955368,0.6875696323412382,0.5778954004300044,0.8438986130278089,0.5401695886976879,0.6803984024245511,0.5055584952845837,0.7018535710793733,0.7070214060157622,0.6644573079305959,1.0163138702451755,1.2799008413663953,1.1208915122732015
6,4.63600539958276,4.800042980201364,4.94333910624429,3.7938238197702754,3.551928597455143,3.7479087055805205,3.0329819941968945,3.990094409261082,2.6410915102993764,2.8107411444515287,2.6452953589464894,1.9052161533423075,1.7153474727591493,1.793184362407683,1.5587978550941515,2.0308937011197203,2.0004216761882505,1.783547980147837,1.056019599723771,1.2227743656294858,2.133740252686573,1.7494326492727705,1.6162446813428146,0.8982656415316969,1.1077547899317117,1.2114186457830518,0.8205033453744732,1.1881395160945378,1.279803422194351,1.2579490227594428,1.1569570224328323,1.17387884787704,0.8881879605566828,0.7449926149158007,1.1786634504687243,0.9508135976124256,1.1003958204282847,0.6600783803471959,1.191305849907376,1.0446771869141647,1.2002355462259469,1.2925385816782655,1.2585813690335377,1.44480368328619,2.1329688225762498
7,4.884856168740695,5.312783415529427,5.19557171031986,5.282078060058737,5.699226951011004,5.2815365498834055,5.533763503411953,5.119405725260913,4.7282391313330185,4.2372271256584675,3.3407240223908046,2.657323158994962,3.0261628591186693,2.7961606172760605,2.8294436146708066,2.627620230048151,2.611692240899779,2.3718689659319443,1.9163721621171552,2.428585634390873,2.1928338843237576,1.6049534760016875,1.9065300626919677,2.280628342855783,1.6296243084073982,1.4372022818761439,1.3395107102253225,1.668527074354572,1.388464635805726,1.8232003547426974,1.4034026773733532,1.3082763116949623,1.2167300380228137,1.518582085019158,1.0827220099534343,1.1263785140121487,1.086603748496984,1.2742850411395847,1.259722961726257,1.4692380445075415,1.5916928155733459,1.0744159273565903,1.9789677391803846,1.848749966443922,2.0955744672248455
8,8.023557714067834,7.222197191161621,7.931035806068266,7.592681642562474,6.077241742547782,5.291702208307857,6.226332224747034,5.737371288029029,6.215871470403572,5.445535568423154,4.917471679501592,3.7151662019573752,3.8158974831884733,3.8611376929965546,3.8978228117538,3.80924762444259,4.4404480412073575,2.767484061021486,2.7634604799010534,3.2010755613886266,2.5240307277633782,2.3017849295863066,2.2334474911340725,2.4140931357131756,2.0609786134614336,2.459894453679345,1.652036033265937,1.7913866075937217,1.4931385194785012,1.9090397121168114,1.4361478411620487,1.743102866652289,1.3605321857697856,1.448045962999395,1.1936786756267725,1.2994885862668748,1.0469257501223,1.298374095581973,0.9037347743283896,1.6341075775384046,1.3264327389539101,1.3227498012999754,1.641140796581447,1.9271934254215246,2.1494608297965976
9,8.199255015689275,9.70474321329662,9.622214642663804,9.80958008153358,9.211835366078338,6.1278002622128485,8.47640744839987,7.16419189589291,6.709270534561129,5.782381022847245,5.157186239187899,3.9360780917893408,4.639193696956689,4.262836804577531,4.8419720883738,4.220655889925294,3.8788104464122943,4.117186352275822,3.748235958227491,3.663605956499913,5.016842256145631,3.5912929103388835,3.7992808277999712,3.6155514869917074,3.822065609128592,2.819193066396024,2.763837944336304,2.0485260501874754,2.617344268016053,2.216382669549811,2.069495022519555,1.5846151779264483,1.413969118224717,1.9716899908368302,1.5971185204294025,1.3574225955869148,1.5299420082436057,1.899720326627551,1.8058075452090734,2.090184254881865,1.589411341641981,1.5278955530599927,2.403536526667854,2.0722612514776126,2.7059547770249144
10,10.448622429144692,11.706331466158101,11.034093540171337,10.04740954663954,11.2760759255779,8.403945051920086,7.623332819464232,7.508740256171813,9.531475896979963,7.829645518613238,8.312010405738432,5.70885971669603,4.459436201842444,4.76758685569589,5.821117072366188,4.549979026466542,5.04683644464792,4.924093648150916,4.5252357312613345,5.928302037287942,4.523708130351429,5.016934662954804,5.325659219781241,5.842164348963226,4.332816253838041,3.88068760551982,3.9633549884303765,2.653440287387994,3.2873851940131567,3.2368769686184775,3.0087505749534302,2.9463976605602578,2.6071795206048654,2.3596668579426923,2.4814687459011453,2.1167702178897425,2.253256924452168,1.8646345668066902,1.6532396638225082,1.805756897449621,2.400561229717945,1.7001875165148421,1.7852061020444812,2.135149450130141,2.4274078621717816
