gr_et,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,4.397472918895941,3.21736043312328,4.306216705177326,4.178523674015154,2.4790637789265864,1.9751269148985382,2.104184864444305,1.8371911796451466,1.167387062915057,1.1097323527334726,1.3013814163734805,0.8430528232103351,1.0302592034035838,0.9215561688484913,0.8150170242673717,0.4747639236389705,0.6123923720406138,0.4685084985099087,0.28030401773763824,0.7008405882014889,0.4214578226084025,0.6119827157250841,0.6169461828353233,0.8632712609323714,0.6798978016475866,0.6403597048237312,0.703540567907997,0.864881144980535,0.41183447548761204,0.7286190639014531,0.630613444993954,0.15902389015901858,0.320704523697659,0.2692010328705229,0.487478835293901,0.27217727668126623,0.16389054296936886,0.21852967769604162,0.16339575595863473,0.3232225721405846,0.42991545175246976,0.2133321955616237,0.10698396684780836,0.37763820749169463,0.21787014503615557
2,1.0620452749900728,1.2430463395836862,1.4198973769170833,1.1181522005235307,0.5239253418030716,1.088202850175086,0.785899172504307,0.5496190590301863,0.7545835561151452,0.47732798160271883,0.15723698968734998,0.1559623631625216,0.3102232521634194,0.308737900047134,0.35845542581176076,0.254127926981931,0.001,0.14919442470381178,0.2946503286333332,0.1939840690583286,0.1440120509284217,0.2857529303963012,0.23688935845623943,0.23634426472826556,0.28386322712748396,0.14244263478990424,0.33484523931389254,0.1930433918110028,0.24388768679357933,0.14807736351215814,0.14990668308977662,0.2023157055659074,0.15348487406566083,0.001,0.05229972343906245,0.05280943556747172,0.001,0.053518808114735764,0.001,0.10083526895035022,0.05045042136191921,0.20132339936573065,0.001,0.001,0.10263247157978572
3,0.938354782559738,0.7622997057523135,0.8230370419578406,0.9449484825899148,0.5939310933024172,0.6567266118757664,0.24093090884559765,0.5404324540497306,0.23821888504033045,0.4112042586662766,0.11537425388912188,0.1130243624013156,0.3875535515961116,0.21726708425400262,0.16037617836397053,0.15850230118924274,0.15725330887170752,0.26069039157782337,0.15574674333559685,0.41334526523332304,0.25653681457211197,0.15247342388221732,0.35179821658406946,0.09930639448770066,0.29430158554979213,0.048542228340700426,0.0963011220525236,0.09577837649905131,0.28662466023035066,0.1433695867228293,0.14380033610931894,0.2409625780297068,0.0485698604587909,0.049049662783568364,0.09920546344328275,0.001,0.15235719433210923,0.001,0.10332996305437171,0.23927360362317662,0.09543227720022693,0.1904228720720103,0.09566489734439028,0.1447969391857682,0.2435820988592563
4,1.5076787965707845,1.1091037702134163,1.5166497812991016,1.738959406691036,1.2500692002593,1.1270854045999321,1.5502775891275455,1.075728925872715,0.8402034972870428,1.0858293836289503,0.727212787309652,0.4251592221286872,0.9694402149248957,0.8416182635972449,0.6523377710092793,0.7570269571476156,0.5703634584102373,0.7822374001110778,0.6031310176026529,0.6479352194367607,0.5340020462958414,0.5301900837488256,0.6333703855008852,0.7363704406177728,0.5237664253150979,0.26010657086421446,0.2575665320108837,0.458210210552683,0.7038528907238222,0.4965729021160461,0.441938598033275,0.24329882058463734,0.33850913805418176,0.3374933405331913,0.38570518720442326,0.1450327024571924,0.4857457897983669,0.390605927444949,0.2454973334079645,0.3342044930452045,0.3771640375975971,0.32584995633610586,0.3709933300036682,0.5563400981198486,0.5579018427497866
5,2.8645907932051906,4.198000471029884,3.1064004274406987,3.355511024195919,2.8762926157070416,1.7879697730938644,1.8864116112407494,1.9175894292573423,2.3833284342693295,1.8192755887175804,0.9670086855511375,1.2092388264820886,1.152358118939127,1.5233758984871049,1.3477386171221615,1.415361969593102,1.0481928230853987,0.9839118119842919,1.1593537884020686,1.0839834222801952,1.1833766350567043,1.2178551483086602,0.9096790993267238,1.3399975880043415,0.8801194762188967,1.0337266935435607,0.6480391415641504,0.7523843867341734,0.6959862473117532,0.7461616644521655,0.8464045528100895,0.4187707716846049,0.5688138008706989,0.5105880646976348,0.6052572646003184,0.7981594443213949,0.49405113033958115,0.6850256811234813,0.2910944033704851,0.38781936925057786,0.3303200281998927,0.5506979408027249,0.9515295384220831,0.8128095167350705,0.6333892978020034
6,4.29770565193061,4.319303659141288,4.337327288878509,3.1409311652854623,2.800362180175303,3.2326573571146655,2.7098802232941304,3.686450380732342,3.095157522883531,2.341994027246089,1.7640002822400453,1.601427704827408,1.261438885493516,1.6209678424918017,1.6088850055630293,1.4183863573433253,1.3567374657500877,1.422230576968027,0.7455638948257866,1.437273629403369,1.6331822430376186,1.5748527512677564,1.3836739057969647,0.8121076504913564,0.9870432071994931,0.9091603358801944,0.8905729293140391,0.6977409473926584,0.9698275247320282,1.0112564074329593,0.7776598327031512,0.6613603521082515,0.603172026855412,0.546162173026361,0.9239843509662159,0.7551273144652189,0.8000435223676168,0.4723851513600756,0.36052814282682905,0.622956249263484,0.8463918316217963,0.8115185995289373,0.5115800801878523,0.5948614041566169,1.3573696348268471
7,4.875292240529191,5.443698811886049,4.11098001652614,3.9601450997164536,4.197948538875389,4.50481509572732,3.9391614420553824,3.7057369116388577,3.48564784499822,2.7196236040931936,2.3930961491995095,2.1643971594153144,2.096454245247555,2.1049160313913142,2.2523367994294077,1.7988139819812135,2.219535568710293,1.6701386279297283,1.4600884813619706,1.8276304959684992,1.4450603752507651,1.1316534147956139,1.3250540590507187,1.7769756002211063,1.1498812747583813,1.1563122120059897,1.095064479973203,0.9638455122710384,0.9561600611942439,0.8803807772630345,1.3577523027787635,0.7850952682912099,0.9458601474832435,1.10204278130077,0.5712222785828204,0.5648648419649388,0.5041985735662133,0.9997711634892458,0.5497130223166995,0.7898025211624764,1.0428593226683587,0.6356743630940178,1.0812825865103304,1.1538567662411612,0.9294339502655001
8,6.934524222293108,5.601045528498653,6.66448789177897,5.543100687344485,5.803129426366578,3.9874361582989373,5.421721407611654,4.044635748619502,4.095800780250048,3.646013478424962,3.3201633520369205,2.1011013425124054,3.5188221798399644,3.049854962452897,2.61151154288102,2.440001542710653,3.0412931578507183,1.4717515683352649,1.7849544051246757,1.7366743242426537,1.763339493718103,1.4625588264427978,1.3091447030368883,1.8772790329294162,1.8645980344564856,1.9233198038470243,1.2827477482966714,1.3507081569908794,1.4861855819321188,1.1693725731458786,1.108734216842325,0.8484006017118114,0.7804883125127237,0.8386690966566134,0.7001463942460696,0.9374045019163674,0.48928975311050665,0.7166091488295683,0.7580926389204761,0.819309006488342,0.6853132795438555,0.33522886633419413,0.8814965607860745,0.7633146612027877,1.078577033319941
9,7.438639675675311,7.4084317831601405,7.504438795713209,7.565195776459272,7.294369491076307,3.580600022629392,6.527360751951959,5.063770190117919,5.626173984315761,4.419298092704598,4.128789934246071,2.723129238579026,3.275291528240109,2.8352886323827766,2.9285533956071697,2.330895928410416,1.4946663764522785,2.1567702365707353,2.1625661528986173,1.3334777934276212,2.7333804439492204,1.8644078329987757,2.4070303338475854,2.5554608006915807,2.2025649223773494,1.8725630672305624,1.6304979200960907,1.336494588533411,1.5842912244128715,1.3756527799977465,1.2396537842715338,1.4988761687161083,0.7832448266679198,1.1137841931747305,0.8557157865081266,0.9248903179178342,0.7930360857853568,0.854640732045806,0.9746671024511578,1.3150955877227937,1.145682432105586,0.8578084464721403,1.1881423394522663,0.9848991781885387,1.5909307854198012
10,9.724296738859845,10.468473715565858,6.909675600067976,9.353353177113995,8.27577769821837,7.388850576330345,6.740873893805309,5.3571099730972636,6.626990925871449,7.1586194446778775,6.73046147035157,3.7344893014063225,2.7568981036676394,3.305684587443952,3.424427327944722,2.556501731725578,3.273724270573311,2.696229323291377,2.3753533338084036,3.2182881821343483,2.2962777337935205,2.4969148696082244,2.4948532102292678,2.846648382881324,2.4852044637700037,2.065431208335089,2.153077425461656,1.5421330012606937,1.5696404626403146,1.235439078682208,1.4885688544612055,1.4569340695706832,1.2957307716963298,1.3464305117311126,1.6688428377270628,1.594794590456749,1.4594288724120843,1.1274480544889012,1.2610072660566047,1.174055041081567,1.3017318514600635,1.0165356465166713,1.2722663348953194,1.0545881174283869,1.3554832200859377
