ano,t,gr_et,poblacion,conteo_defunciones,tasa_x100k,tasa
1979,1,1,2913353,175.0,6.006824439056991,6.00682443905699e-05
1979,1,2,2781468,41.0,1.474041764996038,1.474041764996038e-05
1979,1,3,2789397,31.0,1.1113513063934606,1.1113513063934606e-05
1979,1,4,2576506,48.0,1.8629880931773495,1.8629880931773496e-05
1979,1,5,2444898,90.0,3.6811351639209486,3.681135163920949e-05
1979,1,6,2200170,102.0,4.63600539958276,4.6360053995827595e-05
1979,1,7,1276714,88.0,6.892694840034652,6.892694840034652e-05
1979,1,8,1330964,117.0,8.79062093339865,8.79062093339865e-05
1979,1,9,1106871,100.0,9.03447646564053,9.034476465640531e-05
1979,1,10,966383,111.0,11.486129205501339,0.00011486129205501339
1979,1,11,788016,143.0,18.146839658078008,0.00018146839658078007
1979,1,12,616939,121.0,19.612960114371113,0.00019612960114371114
1979,1,13,541148,136.0,25.13175693156031,0.0002513175693156031
1979,1,14,415770,133.0,31.9888399836448,0.000319888399836448
1979,1,15,294573,118.0,40.05798223190856,0.0004005798223190856
1979,1,16,174005,79.0,45.4009942243039,0.000454009942243039
1979,1,17,239455,105.0,43.849575076736755,0.00043849575076736755
1980,2,1,3282770,154.0,4.691160209213561,4.691160209213561e-05
1980,2,2,3076920,38.0,1.235001235001235,1.235001235001235e-05
1980,2,3,3095800,19.0,0.613734737386136,6.137347373861361e-06
1980,2,4,2924119,43.0,1.470528388208551,1.470528388208551e-05
1980,2,5,2763347,106.0,3.8359279525879306,3.835927952587931e-05
1980,2,6,2062769,109.0,5.284159302374624,5.2841593023746237e-05
1980,2,7,1863430,99.0,5.312783415529427,5.312783415529427e-05
1980,2,8,1237040,109.0,8.811356140464333,8.811356140464334e-05
1980,2,9,895534,121.0,13.511491467660635,0.00013511491467660636
1980,2,10,1084883,127.0,11.706331466158101,0.00011706331466158101
1980,2,11,898584,148.0,16.470357807394745,0.00016470357807394745
1980,2,12,700740,135.0,19.26534806062163,0.0001926534806062163
1980,2,13,505262,158.0,31.270904995823948,0.00031270904995823947
1980,2,14,352641,130.0,36.864686749413714,0.0003686468674941371
1980,2,15,298819,136.0,45.5125008784582,0.00045512500878458197
1980,2,16,213345,117.0,54.84075089643535,0.0005484075089643535
1980,2,17,259247,102.0,39.34471758593156,0.0003934471758593156
1981,3,1,3357203,163.0,4.855232167968396,4.8552321679683953e-05
1981,3,2,3380914,44.0,1.3014232246073103,1.3014232246073102e-05
1981,3,3,3392643,35.0,1.031644060397749,1.031644060397749e-05
1981,3,4,3272013,56.0,1.711484642634366,1.711484642634366e-05
1981,3,5,2844606,90.0,3.1638828013440174,3.163882801344017e-05
1981,3,6,1907995,116.0,6.079680502307395,6.079680502307396e-05
1981,3,7,1924716,100.0,5.19557171031986,5.19557171031986e-05
1981,3,8,1411009,124.0,8.788037496571603,8.788037496571602e-05
1981,3,9,1278292,123.0,9.622214642663804,9.622214642663804e-05
1981,3,10,1011371,122.0,12.062833520043585,0.00012062833520043585
1981,3,11,837622,137.0,16.355826375142964,0.00016355826375142964
1981,3,12,655380,137.0,20.903903079129666,0.00020903903079129665
1981,3,13,517186,161.0,31.129999651962734,0.00031129999651962736
1981,3,14,396782,144.0,36.29196888971778,0.0003629196888971778
1981,3,15,278958,146.0,52.33762788663526,0.0005233762788663526
1981,3,16,196082,104.0,53.03903468956865,0.0005303903468956865
1981,3,17,270365,150.0,55.480554065799936,0.0005548055406579994
1982,4,1,2699848,148.0,5.4817900859603945,5.481790085960395e-05
1982,4,2,3396024,35.0,1.030616980327583,1.0306169803275832e-05
1982,4,3,3070888,29.0,0.9443522525080693,9.443522525080693e-06
1982,4,4,2980048,45.0,1.5100427912570535,1.5100427912570535e-05
1982,4,5,2922806,92.0,3.1476601594495155,3.1476601594495155e-05
1982,4,6,2424994,92.0,3.7938238197702754,3.7938238197702754e-05
1982,4,7,1817682,105.0,5.776587984036811,5.776587984036812e-05
1982,4,8,1619981,123.0,7.592681642562474,7.592681642562474e-05
1982,4,9,1315041,129.0,9.80958008153358,9.80958008153358e-05
1982,4,10,815293,113.0,13.860047860094468,0.0001386004786009447
1982,4,11,954899,175.0,18.3265455299461,0.000183265455299461
1982,4,12,681546,150.0,22.008785907334207,0.00022008785907334208
1982,4,13,430219,146.0,33.9362045841769,0.000339362045841769
1982,4,14,329396,144.0,43.71637785522593,0.0004371637785522593
1982,4,15,247929,146.0,58.88782675685378,0.0005888782675685378
1982,4,16,195124,94.0,48.17449416781124,0.0004817449416781124
1982,4,17,275523,97.0,35.205772294871934,0.00035205772294871936
1983,5,1,3459779,106.0,3.0637795073037903,3.06377950730379e-05
1983,5,2,3429673,22.0,0.6414605707307955,6.414605707307956e-06
1983,5,3,3352965,20.0,0.5964869898731422,5.9648698987314215e-06
1983,5,4,3032430,41.0,1.3520509954063242,1.3520509954063243e-05
1983,5,5,2469455,80.0,3.239581203139964,3.239581203139964e-05
1983,5,6,2505681,89.0,3.551928597455143,3.551928597455143e-05
1983,5,7,1698139,117.0,6.88989535014507,6.88989535014507e-05
1983,5,8,1519786,102.0,6.711471220290226,6.711471220290225e-05
1983,5,9,1092251,125.0,11.444255944833193,0.00011444255944833193
1983,5,10,1144015,129.0,11.2760759255779,0.00011276075925577899
1983,5,11,890573,151.0,16.95537592089587,0.00016955375920895872
1983,5,12,784337,151.0,19.251928699015856,0.00019251928699015857
1983,5,13,499584,150.0,30.024980784012296,0.00030024980784012297
1983,5,14,377121,133.0,35.267195409430926,0.00035267195409430924
1983,5,15,296186,157.0,53.00723194209045,0.0005300723194209045
1983,5,16,157541,83.0,52.68469795164433,0.0005268469795164433
1983,5,17,293292,143.0,48.75687028626761,0.0004875687028626761
1984,6,1,3500634,85.0,2.428131589877719,2.4281315898777192e-05
1984,6,2,3174259,33.0,1.0396127096119125,1.0396127096119126e-05
1984,6,3,3031759,22.0,0.7256513462976444,7.256513462976443e-06
1984,6,4,3041819,46.0,1.5122530301770092,1.5122530301770092e-05
1984,6,5,3074359,80.0,2.6021684520252837,2.602168452025284e-05
1984,6,6,2348665,97.0,4.130005769234863,4.1300057692348634e-05
1984,6,7,1750911,112.0,6.39667007632027,6.39667007632027e-05
1984,6,8,1594274,92.0,5.770651719842386,5.770651719842386e-05
1984,6,9,1127131,86.0,7.629991544904718,7.629991544904718e-05
1984,6,10,1166119,98.0,8.403945051920086,8.403945051920087e-05
1984,6,11,1005369,138.0,13.726303476633952,0.0001372630347663395
1984,6,12,814055,123.0,15.109544195416772,0.00015109544195416772
1984,6,13,564420,141.0,24.98139683214627,0.0002498139683214627
1984,6,14,440532,141.0,32.00675546838822,0.0003200675546838822
1984,6,15,254784,153.0,60.05086661642803,0.0006005086661642803
1984,6,16,179854,84.0,46.70454924549912,0.00046704549245499125
1984,6,17,266626,90.0,33.75514766001815,0.00033755147660018153
1985,7,1,3910482,94.0,2.403795746918155,2.403795746918155e-05
1985,7,2,3227023,33.0,1.0226143414534077,1.0226143414534077e-05
1985,7,3,3301294,14.0,0.4240761349943386,4.240761349943386e-06
1985,7,4,3319063,51.0,1.5365782451252055,1.5365782451252054e-05
1985,7,5,2521744,60.0,2.3793057503061377,2.3793057503061375e-05
1985,7,6,2434047,81.0,3.3277911231788044,3.3277911231788044e-05
1985,7,7,2186577,121.0,5.533763503411953,5.533763503411954e-05
1985,7,8,1488100,111.0,7.459176130636382,7.459176130636382e-05
1985,7,9,1185822,122.0,10.288222009711408,0.00010288222009711407
1985,7,10,967727,90.0,9.30014353221518,9.30014353221518e-05
1985,7,11,1016646,130.0,12.787145181311882,0.00012787145181311882
1985,7,12,834103,149.0,17.863501270226816,0.00017863501270226818
1985,7,13,640721,179.0,27.93727691147941,0.0002793727691147941
1985,7,14,389498,182.0,46.72681246116797,0.00046726812461167966
1985,7,15,316182,161.0,50.92003972395645,0.0005092003972395645
1985,7,16,185105,109.0,58.885497420383025,0.0005888549742038302
1985,7,17,378805,120.0,31.678568128720585,0.00031678568128720583
1986,8,1,3935147,72.0,1.829664813029856,1.829664813029856e-05
