ano,sexo,gr_et,poblacion
1979,1,1,1139607
1979,1,2,1086625
1979,1,3,1392373
1979,1,4,1284247
1979,1,5,1319364
1979,1,6,1083295
1979,1,7,737372
1979,1,8,609934
1979,1,9,515365
1979,1,10,548165
1979,1,11,368430
1979,1,12,292102
1979,1,13,283896
1979,1,14,218785
1979,1,15,154104
1979,1,16,104854
1979,1,17,107161
1979,2,1,1773746
1979,2,2,1694843
1979,2,3,1397024
1979,2,4,1292259
1979,2,5,1125534
1979,2,6,1116875
1979,2,7,539342
1979,2,8,721030
1979,2,9,591506
1979,2,10,418218
1979,2,11,419586
1979,2,12,324837
1979,2,13,257252
1979,2,14,196985
1979,2,15,140469
1979,2,16,69151
1979,2,17,132294
1980,1,1,1480050
1980,1,2,1387522
1980,1,3,1698306
1980,1,4,1301187
1980,1,5,1357916
1980,1,6,1113219
1980,1,7,926567
1980,1,8,628291
1980,1,9,405829
1980,1,10,559496
1980,1,11,463701
1980,1,12,363466
1980,1,13,240007
1980,1,14,224639
1980,1,15,156577
1980,1,16,105719
1980,1,17,123523
1980,2,1,1802720
1980,2,2,1689398
1980,2,3,1397494
1980,2,4,1622932
1980,2,5,1405431
1980,2,6,949550
1980,2,7,936863
1980,2,8,608749
1980,2,9,489705
1980,2,10,525387
1980,2,11,434883
1980,2,12,337274
1980,2,13,265255
1980,2,14,128002
1980,2,15,142242
1980,2,16,107626
1980,2,17,135724
1981,1,1,1852757
1981,1,2,1690651
1981,1,3,1691626
1981,1,4,1623643
1981,1,5,1395984
1981,1,6,709100
1981,1,7,951712
1981,1,8,630754
1981,1,9,651996
1981,1,10,570183
1981,1,11,388023
1981,1,12,304524
1981,1,13,243203
1981,1,14,184089
1981,1,15,133241
1981,1,16,106985
1981,1,17,132224
1981,2,1,1504446
1981,2,2,1690263
1981,2,3,1701017
1981,2,4,1648370
1981,2,5,1448622
1981,2,6,1198895
1981,2,7,973004
1981,2,8,780255
1981,2,9,626296
1981,2,10,441188
1981,2,11,449599
1981,2,12,350856
1981,2,13,273983
1981,2,14,212693
1981,2,15,145717
1981,2,16,89097
1981,2,17,138141
1982,1,1,1881669
1982,1,2,1696792
1982,1,3,1377674
1982,1,4,1644034
1982,1,5,1432720
1982,1,6,1183324
1982,1,7,807618
1982,1,8,808161
1982,1,9,667338
1982,1,10,373543
1982,1,11,491033
1982,1,12,389017
1982,1,13,246307
1982,1,14,150785
1982,1,15,96849
1982,1,16,108168
1982,1,17,132166
1982,2,1,818179
1982,2,2,1699232
1982,2,3,1693214
1982,2,4,1336014
1982,2,5,1490086
1982,2,6,1241670
1982,2,7,1010064
1982,2,8,811820
1982,2,9,647703
1982,2,10,441750
1982,2,11,463866
1982,2,12,292529
1982,2,13,183912
1982,2,14,178611
1982,2,15,151080
1982,2,16,86956
1982,2,17,143357
1983,1,1,1906298
1983,1,2,1711871
1983,1,3,1669268
1983,1,4,1352523
1983,1,5,1207314
1983,1,6,1220133
1983,1,7,650008
1983,1,8,834021
1983,1,9,685199
1983,1,10,588176
1983,1,11,413272
