ano,gr_et,poblacion
1979,1,2913353
1979,2,2781468
1979,3,2789397
1979,4,2576506
1979,5,2444898
1979,6,2200170
1979,7,1276714
1979,8,1330964
1979,9,1106871
1979,10,966383
1979,11,788016
1979,12,616939
1979,13,541148
1979,14,415770
1979,15,294573
1979,16,174005
1979,17,239455
1980,1,3282770
1980,2,3076920
1980,3,3095800
1980,4,2924119
1980,5,2763347
1980,6,2062769
1980,7,1863430
1980,8,1237040
1980,9,895534
1980,10,1084883
1980,11,898584
1980,12,700740
1980,13,505262
1980,14,352641
1980,15,298819
1980,16,213345
1980,17,259247
1981,1,3357203
1981,2,3380914
1981,3,3392643
1981,4,3272013
1981,5,2844606
1981,6,1907995
1981,7,1924716
1981,8,1411009
1981,9,1278292
1981,10,1011371
1981,11,837622
1981,12,655380
1981,13,517186
1981,14,396782
1981,15,278958
1981,16,196082
1981,17,270365
1982,1,2699848
1982,2,3396024
1982,3,3070888
1982,4,2980048
1982,5,2922806
1982,6,2424994
1982,7,1817682
1982,8,1619981
1982,9,1315041
1982,10,815293
1982,11,954899
1982,12,681546
1982,13,430219
1982,14,329396
1982,15,247929
1982,16,195124
1982,17,275523
1983,1,3459779
1983,2,3429673
1983,3,3352965
1983,4,3032430
1983,5,2469455
1983,6,2505681
1983,7,1698139
1983,8,1519786
1983,9,1092251
1983,10,1144015
1983,11,890573
1983,12,784337
1983,13,499584
1983,14,377121
1983,15,296186
1983,16,157541
1983,17,293292
1984,1,3500634
1984,2,3174259
1984,3,3031759
1984,4,3041819
1984,5,3074359
1984,6,2348665
1984,7,1750911
1984,8,1594274
1984,9,1127131
1984,10,1166119
1984,11,1005369
1984,12,814055
1984,13,564420
1984,14,440532
1984,15,254784
1984,16,179854
1984,17,266626
1985,1,3910482
1985,2,3227023
1985,3,3301294
1985,4,3319063
1985,5,2521744
1985,6,2434047
1985,7,2186577
1985,8,1488100
1985,9,1185822
1985,10,967727
1985,11,1016646
1985,12,834103
1985,13,640721
1985,14,389498
1985,15,316182
1985,16,185105
1985,17,378805
1986,1,3935147
1986,2,3634891
