ano,sexo,edad,poblacion
1979,hombre,0,38035
1980,hombre,0,386368
1981,hombre,0,391429
1982,hombre,0,395005
1983,hombre,0,396638
1984,hombre,0,400843
1985,hombre,0,403415
1986,hombre,0,404814
1987,hombre,0,40926
1988,hombre,0,414015
1989,hombre,0,419165
1990,hombre,0,424466
1991,hombre,0,429517
1992,hombre,0,434298
1993,hombre,0,441599
1994,hombre,0,442145
1995,hombre,0,444058
1996,hombre,0,44455
1997,hombre,0,443734
1998,hombre,0,441583
1999,hombre,0,438224
2000,hombre,0,433772
2001,hombre,0,428557
2002,hombre,0,423007
2003,hombre,0,417443
2004,hombre,0,412003
2005,hombre,0,408096
2006,hombre,0,405021
2007,hombre,0,400337
2008,hombre,0,396347
2009,hombre,0,393007
2010,hombre,0,390276
2011,hombre,0,387993
2012,hombre,0,386029
2013,hombre,0,384419
2014,hombre,0,383087
2015,hombre,0,382202
2016,hombre,0,382213
2017,hombre,0,383542
1979,hombre,1,366733
1980,hombre,1,373503
1981,hombre,1,379838
1982,hombre,1,385165
1983,hombre,1,388919
1984,hombre,1,39072
1985,hombre,1,396489
1986,hombre,1,398776
1987,hombre,1,400494
1988,hombre,1,404995
1989,hombre,1,409869
1990,hombre,1,415219
1991,hombre,1,420885
1992,hombre,1,426539
1993,hombre,1,432963
1994,hombre,1,438286
1995,hombre,1,439184
1996,hombre,1,441289
1997,hombre,1,44194
1998,hombre,1,441285
1999,hombre,1,439275
2000,hombre,1,436043
2001,hombre,1,431695
2002,hombre,1,426615
2003,hombre,1,421243
2004,hombre,1,415903
2005,hombre,1,411091
2006,hombre,1,406408
2007,hombre,1,403359
2008,hombre,1,398927
2009,hombre,1,395199
2010,hombre,1,392024
2011,hombre,1,389362
2012,hombre,1,38718
2013,hombre,1,385384
2014,hombre,1,383998
2015,hombre,1,382943
2016,hombre,1,382956
2017,hombre,1,384336
1979,hombre,2,356645
1980,hombre,2,362887
1981,hombre,2,369821
1982,hombre,2,376316
1983,hombre,2,381757
1984,hombre,2,385533
1985,hombre,2,392407
1986,hombre,2,394217
1987,hombre,2,396585
1988,hombre,2,398401
1989,hombre,2,402796
1990,hombre,2,407644
1991,hombre,2,41309
1992,hombre,2,419059
1993,hombre,2,425547
1994,hombre,2,431055
1995,hombre,2,436452
1996,hombre,2,437616
1997,hombre,2,439809
1998,hombre,2,44054
1999,hombre,2,439963
2000,hombre,2,43801
2001,hombre,2,434816
2002,hombre,2,4305
2003,hombre,2,4255
2004,hombre,2,420294
2005,hombre,2,415328
2006,hombre,2,409997
2007,hombre,2,405509
2008,hombre,2,402469
2009,hombre,2,398284
2010,hombre,2,394729
2011,hombre,2,391622
2012,hombre,2,388995
2013,hombre,2,386915
2014,hombre,2,385293
2015,hombre,2,384149
2016,hombre,2,383902
2017,hombre,2,385157
1979,hombre,3,34891
1980,hombre,3,353827
1981,hombre,3,360184
1982,hombre,3,367242
1983,hombre,3,373869
1984,hombre,3,379394
1985,hombre,3,387848
1986,hombre,3,391004
1987,hombre,3,392859
1988,hombre,3,395245
1989,hombre,3,397088
1990,hombre,3,401312
1991,hombre,3,406118
1992,hombre,3,411686
1993,hombre,3,418044
1994,hombre,3,424247
1995,hombre,3,429784
1996,hombre,3,435218
1997,hombre,3,436612
1998,hombre,3,438837
1999,hombre,3,439594
2000,hombre,3,439061
2001,hombre,3,437134
2002,hombre,3,433955
2003,hombre,3,42968
2004,hombre,3,424775
2005,hombre,3,419891
2006,hombre,3,414507
2007,hombre,3,409339
2008,hombre,3,405036
2009,hombre,3,401989
2010,hombre,3,397964
2011,hombre,3,394455
2012,hombre,3,391364
2013,hombre,3,388829
2014,hombre,3,38688
2015,hombre,3,385484
2016,hombre,3,385057
2017,hombre,3,385977
1979,hombre,4,343303
1980,hombre,4,3465
1981,hombre,4,351485
1982,hombre,4,357941
1983,hombre,4,365115
1984,hombre,4,371865
1985,hombre,4,381825
1986,hombre,4,386823
1987,hombre,4,389989
1988,hombre,4,391839
1989,hombre,4,394189
1990,hombre,4,396016
1991,hombre,4,400081
1992,hombre,4,404894
1993,hombre,4,410578
1994,hombre,4,416977
1995,hombre,4,423204
1996,hombre,4,42877
1997,hombre,4,434208
1998,hombre,4,435795
1999,hombre,4,438037
2000,hombre,4,438811
2001,hombre,4,438286
2002,hombre,4,436383
2003,hombre,4,433247
2004,hombre,4,429042
2005,hombre,4,424339
2006,hombre,4,419176
2007,hombre,4,413952
2008,hombre,4,408938
2009,hombre,4,404804
2010,hombre,4,401696
2011,hombre,4,397712
2012,hombre,4,394199
2013,hombre,4,391172
2014,hombre,4,388767
2015,hombre,4,387014
2016,hombre,4,386303
2017,hombre,4,386921
1979,hombre,5,33997
1980,hombre,5,341133
1981,hombre,5,344346
1982,hombre,5,349389
1983,hombre,5,355939
1984,hombre,5,363226
1985,hombre,5,373807
1986,hombre,5,380983
1987,hombre,5,385989
1988,hombre,5,389133
1989,hombre,5,390942
1990,hombre,5,393222
1991,hombre,5,39505
1992,hombre,5,399014
1993,hombre,5,40374
1994,hombre,5,40964
1995,hombre,5,416051
1996,hombre,5,422289
1997,hombre,5,427862
1998,hombre,5,433288
1999,hombre,5,435046
2000,hombre,5,437283
2001,hombre,5,43806
2002,hombre,5,437552
2003,hombre,5,435706
2004,hombre,5,432644
2005,hombre,5,428624
2006,hombre,5,423675
2007,hombre,5,418654
2008,hombre,5,413587
2009,hombre,5,408723
2010,hombre,5,40472
2011,hombre,5,401441
2012,hombre,5,397432
2013,hombre,5,393956
2014,hombre,5,391033
2015,hombre,5,388837
2016,hombre,5,387709
2017,hombre,5,387996
1979,hombre,6,338897
1980,hombre,6,337967
1981,hombre,6,339133
1982,hombre,6,342355
1983,hombre,6,347456
1984,hombre,6,354098
1985,hombre,6,36427
1986,hombre,6,373103
1987,hombre,6,380266
1988,hombre,6,385247
1989,hombre,6,388339
1990,hombre,6,390067
1991,hombre,6,392294
1992,hombre,6,394176
1993,hombre,6,39797
1994,hombre,6,402878
1995,hombre,6,408777
1996,hombre,6,415197
1997,hombre,6,421432
1998,hombre,6,426985
1999,hombre,6,432391
2000,hombre,6,434302
2001,hombre,6,436518
2002,hombre,6,437301
2003,hombre,6,436832
2004,hombre,6,43509
2005,hombre,6,432204
2006,hombre,6,427981
2007,hombre,6,423171
2008,hombre,6,418287
2009,hombre,6,413366
2010,hombre,6,408632
2011,hombre,6,404648
2012,hombre,6,401129
2013,hombre,6,397128
2014,hombre,6,393744
2015,hombre,6,391005
2016,hombre,6,389428
2017,hombre,6,389215
1979,hombre,7,339284
1980,hombre,7,337021
1981,hombre,7,336078
1982,hombre,7,337243
1983,hombre,7,340472
1984,hombre,7,345632
1985,hombre,7,354094
1986,hombre,7,363668
1987,hombre,7,372476
1988,hombre,7,379617
1989,hombre,7,384531
1990,hombre,7,387536
1991,hombre,7,389207
1992,hombre,7,391445
1993,hombre,7,393386
1994,hombre,7,397149
1995,hombre,7,402062
1996,hombre,7,407963
1997,hombre,7,414374
1998,hombre,7,420587
1999,hombre,7,426097
2000,hombre,7,431467
2001,hombre,7,433519
2002,hombre,7,435719
2003,hombre,7,436544
2004,hombre,7,43616
2005,hombre,7,434632
2006,hombre,7,431558
2007,hombre,7,42746
2008,hombre,7,422789
2009,hombre,7,418038
2010,hombre,7,413255
2011,hombre,7,408556
2012,hombre,7,404507
2013,hombre,7,400776
2014,hombre,7,396837
2015,hombre,7,393626
2016,hombre,7,391477
2017,hombre,7,390795
1979,hombre,8,340315
1980,hombre,8,337533
1981,hombre,8,335235
1982,hombre,8,334276
1983,hombre,8,335443
1984,hombre,8,338684
1985,hombre,8,344572
1986,hombre,8,353569
1987,hombre,8,363124
1988,hombre,8,371891
1989,hombre,8,378968
1990,hombre,8,383794
1991,hombre,8,386729
1992,hombre,8,388409
1993,hombre,8,390189
1994,hombre,8,392621
1995,hombre,8,396367
1996,hombre,8,401282
1997,hombre,8,407166
1998,hombre,8,413539
1999,hombre,8,419714
2000,hombre,8,425171
2001,hombre,8,430491
2002,hombre,8,432687
2003,hombre,8,43491
2004,hombre,8,435816
2005,hombre,8,43563
2006,hombre,8,433987
2007,hombre,8,431018
2008,hombre,8,427039
2009,hombre,8,422508
2010,hombre,8,417889
2011,hombre,8,413152
2012,hombre,8,408389
2013,hombre,8,404304
2014,hombre,8,400422
2015,hombre,8,396636
2016,hombre,8,393969
2017,hombre,8,392665
1979,hombre,9,34132
1980,hombre,9,33868
1981,hombre,9,335859
1982,hombre,9,333529
1983,hombre,9,332561
1984,hombre,9,333737
1985,hombre,9,336724
1986,hombre,9,344126
1987,hombre,9,353096
1988,hombre,9,362616
1989,hombre,9,371303
1990,hombre,9,37829
1991,hombre,9,383049
1992,hombre,9,385981
1993,hombre,9,38771
1994,hombre,9,389466
1995,hombre,9,391876
1996,hombre,9,395605
1997,hombre,9,400496
1998,hombre,9,406344
1999,hombre,9,412667
2000,hombre,9,418793
2001,hombre,9,424179
2002,hombre,9,429457
2003,hombre,9,431833
2004,hombre,9,434128
2005,hombre,9,435217
2006,hombre,9,434965
2007,hombre,9,433422
2008,hombre,9,430551
2009,hombre,9,426706
2010,hombre,9,422314
2011,hombre,9,417755
2012,hombre,9,41296
2013,hombre,9,408146
2014,hombre,9,404083
2015,hombre,9,400135
2016,hombre,9,396863
2017,hombre,9,394978
1979,hombre,10,34208
1980,hombre,10,339776
1981,hombre,10,337096
1982,hombre,10,334238
1983,hombre,10,331884
1984,hombre,10,330914
1985,hombre,10,331182
1986,hombre,10,336339
1987,hombre,10,343715
1988,hombre,10,352639
1989,hombre,10,36209
1990,hombre,10,370672
1991,hombre,10,377587
1992,hombre,10,382351
1993,hombre,10,385315
1994,hombre,10,387024
1995,hombre,10,388749
1996,hombre,10,391134
1997,hombre,10,394837
1998,hombre,10,399672
1999,hombre,10,405474
2000,hombre,10,411733
2001,hombre,10,417797
2002,hombre,10,42312
2003,hombre,10,428397
2004,hombre,10,430997
2005,hombre,10,433469
2006,hombre,10,434536
2007,hombre,10,434355
2008,hombre,10,432913
2009,hombre,10,430153
2010,hombre,10,426462
2011,hombre,10,42213
2012,hombre,10,417525
2013,hombre,10,41268
2014,hombre,10,407871
2015,hombre,10,40392
2016,hombre,10,400247
2017,hombre,10,397718
1979,hombre,11,342168
1980,hombre,11,340587
1981,hombre,11,338234
1982,hombre,11,335517
1983,hombre,11,332628
1984,hombre,11,330255
1985,hombre,11,327784
1986,hombre,11,330817
1987,hombre,11,335934
1988,hombre,11,343281
1989,hombre,11,35213
1990,hombre,11,361476
1991,hombre,11,369988
1992,hombre,11,376906
1993,hombre,11,381673
1994,hombre,11,384646
1995,hombre,11,38632
1996,hombre,11,388008
1997,hombre,11,390356
1998,hombre,11,394013
1999,hombre,11,398783
2000,hombre,11,404521
2001,hombre,11,410706
2002,hombre,11,416717
2003,hombre,11,422016
2004,hombre,11,427345
2005,hombre,11,430299
2006,hombre,11,432754
2007,hombre,11,433887
2008,hombre,11,433776
2009,hombre,11,432464
2010,hombre,11,429849
2011,hombre,11,426223
2012,hombre,11,421843
2013,hombre,11,417184
2014,hombre,11,412346
2015,hombre,11,407638
2016,hombre,11,404121
2017,hombre,11,400943
1979,hombre,12,341195
1980,hombre,12,340689
1981,hombre,12,339063
1982,hombre,12,336663
1983,hombre,12,333915
1984,hombre,12,331001
1985,hombre,12,326696
1986,hombre,12,327377
1987,hombre,12,330398
1988,hombre,12,335472
1989,hombre,12,342752
1990,hombre,12,3515
1991,hombre,12,360775
1992,hombre,12,369287
1993,hombre,12,376242
1994,hombre,12,380981
1995,hombre,12,383917
1996,hombre,12,385553
1997,hombre,12,387203
1998,hombre,12,389491
1999,hombre,12,393094
2000,hombre,12,397794
2001,hombre,12,403456
2002,hombre,12,409582
2003,hombre,12,415576
2004,hombre,12,4209
2005,hombre,12,425747
2006,hombre,12,429543
2007,hombre,12,432038
2008,hombre,12,433233
2009,hombre,12,433242
2010,hombre,12,432088
2011,hombre,12,429549
2012,hombre,12,425863
2013,hombre,12,421421
2014,hombre,12,416765
2015,hombre,12,412037
2016,hombre,12,407746
2017,hombre,12,404862
1979,hombre,13,339135
1980,hombre,13,339691
1981,hombre,13,339149
1982,hombre,13,33748
1983,hombre,13,335038
1984,hombre,13,332266
1985,hombre,13,327167
1986,hombre,13,326222
1987,hombre,13,326887
1988,hombre,13,329874
1989,hombre,13,334877
1990,hombre,13,342061
1991,hombre,13,35073
1992,hombre,13,360021
1993,hombre,13,368595
1994,hombre,13,375496
1995,hombre,13,380192
1996,hombre,13,383094
1997,hombre,13,38468
1998,hombre,13,386275
1999,hombre,13,388499
2000,hombre,13,392038
2001,hombre,13,396653
2002,hombre,13,402257
2003,hombre,13,408364
2004,hombre,13,414391
2005,hombre,13,419878
2006,hombre,13,424913
2007,hombre,13,428744
2008,hombre,13,431289
2009,hombre,13,432609
2010,hombre,13,432771
2011,hombre,13,431701
2012,hombre,13,429098
2013,hombre,13,425343
2014,hombre,13,420904
2015,hombre,13,416354
2016,hombre,13,412035
2017,hombre,13,40836
1979,hombre,14,335667
1980,hombre,14,337563
1981,hombre,14,338084
1982,hombre,14,337508
1983,hombre,14,335803
1984,hombre,14,333327
1985,hombre,14,328238
1986,hombre,14,326573
1987,hombre,14,325629
1988,hombre,14,326251
1989,hombre,14,329157
1990,hombre,14,33406
1991,hombre,14,341181
1992,hombre,14,34985
1993,hombre,14,359185
1994,hombre,14,367728
1995,hombre,14,374586
1996,hombre,14,37923
1997,hombre,14,382091
1998,hombre,14,383619
1999,hombre,14,385154
2000,hombre,14,387312
2001,hombre,14,390784
2002,hombre,14,395326
2003,hombre,14,40092
2004,hombre,14,407054
2005,hombre,14,413169
2006,hombre,14,418938
2007,hombre,14,423997
2008,hombre,14,427865
2009,hombre,14,430522
