gr_et,ax,bx
1,-11.44478940409995,0.09473803620913016
2,-12.601662737180279,0.10133574123836919
3,-12.739011383755617,0.07046315873575122
4,-11.805665106398813,0.06503630224873987
5,-11.019116724998689,0.05210592984395305
6,-10.613974165879378,0.052958326188548434
7,-10.223444610122293,0.06134961021735536
8,-10.012435014134194,0.07686225407762641
9,-9.69121991131134,0.05759061602262339
10,-9.454104408255612,0.05263106715614209
11,-9.113473327176695,0.05083518316934485
12,-8.920728183878056,0.04653503053377507
13,-8.595231191576753,0.0565994161213081
14,-8.270186035003736,0.05704272113305534
15,-7.972038315520209,0.053847598542756225
16,-7.741926730096811,0.03643487888915184
17,-7.607552081208929,0.013634129672369467
