gr_et,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,3.1610097010943403,3.1146531982747088,3.423604381162596,3.0353669561852117,2.5218196141110205,2.3269422790301024,2.3734176237665703,1.9453766566418678,1.8262480532735943,1.664358195512553,1.2064852319484132,1.1012027514896687,1.0810867601855998,0.940480087113041,1.052609326190052,0.9103007736908447,0.8593998405219608,0.8103632120033827,0.662837926251949,0.8001087672735245,0.7714594233505195,0.671776102438348,0.7880658311873749,0.7133682377219865,0.6832483777834866,0.5078696367578073,0.5461472375502284,0.49180391071511603,0.5532187719516545,0.507394207857592,0.47783566920392007,0.41090999761661073,0.3170024616643966,0.248158355620537,0.2891684176424431,0.30104860682710627,0.3000560333359317,0.28459843652092476,0.2394029257809916,0.31285349649058397,0.2948389217232759,0.27786165325967643,0.26186196144301477,0.24678355593997414,0.232573387699273
2,1.190374864624191,1.169575568811743,1.309290211787662,1.134140113322799,0.9091192098223285,0.8259347098598808,0.8456549971845901,0.6670211302163583,0.6185782364163817,0.5537259639384602,0.3772081845868282,0.338272543781743,0.3309127056810833,0.28022979695500944,0.3205389127474996,0.26953402234824547,0.25165003453485135,0.2346134490654723,0.1845963721088693,0.23107550902442117,0.2212377001799348,0.18757026934084256,0.22693168836759556,0.20150812756260014,0.19139851235539224,0.13434710951140322,0.1465147702182137,0.12929195861762163,0.14878110589948346,0.13419706489479077,0.12492260554035135,0.10434007848252773,0.07655987760909655,0.057164744110690516,0.06860885420660368,0.071985238637121,0.07170214565586186,0.06731711295201177,0.054766583967141076,0.07536582031715529,0.07021715193613147,0.065420218412981,0.06095099073649386,0.05678708145405724,0.05290763252743851
3,0.7081940663000151,0.6989635495718548,0.7602030478498772,0.6831402308086179,0.5794626793880038,0.5395202986246195,0.5490788711208637,0.4601873301606676,0.43507432759119324,0.4006490286578811,0.30108107690144753,0.2776314377927221,0.27312306035639383,0.24133620391821067,0.26672459963061185,0.23444648240524504,0.22276759690707212,0.21144299083636067,0.176885524980725,0.2090652459075663,0.20240393846780516,0.17900212137362026,0.2062684319132039,0.18881058654212357,0.1817141916445729,0.13963246637196186,0.14893974169065388,0.13570291808778048,0.15065106332239447,0.1395163821899016,0.1322747126823974,0.11568636688781117,0.0918786649223444,0.07392417741511265,0.08467819350007488,0.08776059731582367,0.08750359536936975,0.08348872757564761,0.07160339746148357,0.09080999886600569,0.08615118194913898,0.08173137588279461,0.0775383187155613,0.07356037756977975,0.06978651636823018
4,1.4973142578905974,1.4827900178115991,1.5782646561296154,1.457776639525911,1.2899701554675072,1.2233034788230515,1.2393696619629522,1.0869620968027216,1.0425745927882828,0.9806386383082839,0.7930851748587389,0.7467169326078887,0.7376888588166335,0.672897079306427,0.7248097810209924,0.6585714588044042,0.634037524529895,0.6099300467000396,0.5341933764467425,0.6048266651687222,0.5904491709983354,0.538935306409508,0.5988046926344769,0.5607251933813416,0.5449903071349174,0.44811583921833115,0.47012316010654104,0.43871191784439745,0.4741306267026591,0.44783901808395965,0.43045047819869015,0.3896600298494052,0.3283506746847255,0.2793700625510388,0.3090327303988019,0.31735213885179914,0.31666139379970276,0.3058016429241276,0.27282708805208183,0.32550887797045375,0.3130178670778973,0.3010061836743204,0.2894554341450124,0.27834793070806146,0.26766666432886754
5,3.014034333620997,2.9852635878063416,3.174306516242685,2.9357045345260713,2.6028646199446053,2.4704450233634536,2.502367519760023,2.199263431164014,2.110862631822341,1.987411488520474,1.6127795425558658,1.5199530702560107,1.5018688362267867,1.3719769140075777,1.4760644673090422,1.343231087910515,1.2939778432561801,1.2455509937079703,1.093206316356814,1.235295482254703,1.2063956662441662,1.1027544087697698,1.2231922307751109,1.1466122277488944,1.1149444749987452,0.9196360325088926,0.9640596006299071,0.9006428914961085,0.9721453674338703,0.9190770274990141,0.8839518493599082,0.8014634200273228,0.6772147626522353,0.5776861119387537,0.6379912230106696,0.6548877913567833,0.6534851732367448,0.6314269890561222,0.5643705958324351,0.671447093774338,0.6460858607392362,0.6216825470205262,0.598200971040778,0.5756063178371893,0.5538650874431662
6,4.100191229849074,4.060696397315174,4.320265899934535,3.9926727447643766,3.5361052883203206,3.3546058144698203,3.398352075452602,2.9831968125063786,2.8622116222240868,2.6933345427948274,2.1814648599468076,2.05479280958556,2.030122959343676,1.8530110038605523,1.994926293571137,1.813835341148446,1.7467294690308666,1.6807722954112354,1.4734368421539337,1.666807307907228,1.6274599965760639,1.4864240426028115,1.6503276066260195,1.5460919938058717,1.5030063169791776,1.2375391296515157,1.2978788144557085,1.2117491666603044,1.3088643269968423,1.2367800109286566,1.1890892249414229,1.0771609432911107,0.9087711073435103,0.7740854654273587,0.8556692308701812,0.8785407013357908,0.8766418873067464,0.8467852622358236,0.7560817919532713,0.900960879420144,0.8666255824187203,0.8335987913103993,0.8018306394034139,0.7712731604077926,0.7418802160117253
7,5.776091023535471,5.719026868165826,6.0943219017389625,5.62077640986566,4.962483213809069,4.70138473914047,4.764283942064066,4.168245637730594,3.9949367344217435,3.7533409215801106,3.023552301934162,2.8435964247871395,2.808582059262113,2.557533869788655,2.7586458000099325,2.5020856131561575,2.4071776764383905,2.31398584289184,2.0216699228901707,2.2942664736639187,2.2387288010537154,2.0399505335167234,2.27100166070061,2.123990708667797,2.0632974997691957,1.6903844704833173,1.77497959367986,1.6542595304588303,1.7903921269771161,1.6893208661772734,1.6225352563163624,1.466068182263209,1.2314763038690926,1.0446375399867793,1.1577206594789085,1.189473855732376,1.1868368528295783,1.1453926244136694,1.0197229367952492,1.2206211920777912,1.172929020758501,1.1271002803053232,1.0830621626557029,1.040744704507289,1.0000806761673302
8,8.151204594536614,8.057917491822469,8.674102699587772,7.897647984827679,6.83565738705798,6.420467333956017,6.520159338152186,5.584247993921548,5.315968534549101,4.945082057535899,3.8486660033710147,3.584381113956257,3.5332626137657455,3.1697881743686684,3.460534983544254,3.0902538345858677,2.9547725925737773,2.822566747262575,2.4135039327349452,2.7946994891374177,2.716419972910616,2.438823356255546,2.761870903111044,2.555683951242056,2.4712124733521104,1.961273057295482,2.075512433054413,1.9127633672109887,2.0964207464361797,1.9598424374199352,1.8703019005846135,1.6628539690175472,1.358497892613094,1.1225651244699848,1.264627578188412,1.3049271561695799,1.3015738084680035,1.2490285917148876,1.0915851080423378,1.3446247542753498,1.2839075904872799,1.2259321388138669,1.1705745959538627,1.117716749002363,1.067245723013838
9,9.804388763631769,9.699732817465387,10.389539742702382,9.519739310071891,8.320529678087318,7.848353864858215,7.961912483941802,6.890915118855258,6.581748911626864,6.152583358681259,4.870345939140882,4.557788443011939,4.497156231488777,4.064266038841983,4.410790627293975,3.9691063179160198,3.80662387851389,3.64758294897949,3.152169218433227,3.6139956165506604,3.519526272680328,3.1829894939088295,3.574399487448652,3.3249622125930145,3.2223838945465766,2.5977438534904893,2.7385460731170372,2.5377884940003823,2.7642583766581277,2.595977132325981,2.485223989747923,2.227216527630094,1.8446222021632062,1.5440643056422558,1.725500372773244,1.7767115162399445,1.772454338358218,1.7056483140823566,1.504297604548431,1.8270531427344137,1.750014229901174,1.676223714146112,1.6055446246425382,1.5378457660299225,1.4730014748875015
10,11.657874163009279,11.541582325895018,12.30660412066326,11.341382968102238,10.000929003382279,9.469734525407707,9.59767469789028,8.385997466597507,8.033987963293963,7.5435305889479825,6.063968320355196,5.699635593989625,5.628772404827106,5.120952524927468,5.527724766577669,5.008855920246939,4.817042520286733,4.628769311939213,4.038705652864806,4.588940141716738,4.476783247638255,4.075583308080469,4.541954188147393,4.245159478347336,4.122686062544498,3.3709960598950777,3.5413860310634466,3.2982589973675345,3.5724383347591204,3.3688542889148416,3.234395397738447,2.919597356566795,2.4482465667186486,2.073465007096519,2.30022798427503,2.3639418162022303,2.3586499444398474,2.275495951069599,2.0235356941040967,2.4264561181498516,2.3307419595163528,2.238803348313687,2.150491354032454,2.0656629208865933,1.9841806360786416
