age,age_label,year,obs_x100k,pred_x100k,phase,err_abs,error_pct
1,0–4,1979,4.902390601753039,3.1184516871584194,train,1.7839389145946196,36.38916315555728
1,0–4,1980,4.247332661298663,3.136340332871294,train,1.1109923284273688,26.15741259333504
1,0–4,1981,4.42056195919306,3.3883620069781824,train,1.032199952214878,23.349971377921783
1,0–4,1982,3.948396590826327,3.026352035433109,train,0.9220445553932182,23.35237948324363
1,0–4,1983,2.7878779908867948,2.5848870512282973,train,0.20299093965849746,7.281198830151394
1,0–4,1984,2.2064843643326215,2.2870942358439086,train,0.08060987151128707,3.6533171417087527
1,0–4,1985,2.403795746918155,2.3818433189765864,train,0.021952427941568597,0.9132401523595856
1,0–4,1986,1.829664813029856,1.941355154345414,train,0.11169034131555788,6.104415438290191
1,0–4,1987,1.515381501081351,1.84286777492944,train,0.32748627384808904,21.61081375313083
1,0–4,1988,1.4045806887712553,1.6843381081731421,train,0.2797574194018868,19.917504322704456
1,0–4,1989,1.143998583431319,1.2537029839339358,train,0.10970440050261665,9.589557372839426
1,0–4,1990,1.0341928789418138,1.0747220325451834,train,0.040529153603369616,3.918916328725745
1,0–4,1991,0.9250214154629014,1.0600070810714786,train,0.13498566560857717,14.592707082465473
1,0–4,1992,0.9379044713032496,0.9749797289201235,train,0.03707525761687391,3.9529886839495076
1,0–4,1993,0.8304510749240078,1.0530147892451263,train,0.22256371432111843,26.800340326067325
1,0–4,1994,0.6339486548548727,0.9127191852635924,train,0.2787705304087197,43.97367646004982
1,0–4,1995,0.6285641917688821,0.8792325590560998,train,0.25066836728721764,39.87951756873009
1,0–4,1996,0.5090382047055492,0.8205040073002478,train,0.3114658025946986,61.187117138852976
1,0–4,1997,0.39199084309390525,0.6548789773497067,train,0.26288813425580143,67.06486615372901
1,0–4,1998,0.6223597253042474,0.8096389984905675,train,0.1872792731863201,30.091804718688465
1,0–4,1999,0.6234791150660726,0.8065375791528041,train,0.18305846408673154,29.36080129441579
1,0–4,2000,0.6496610161626379,0.6788575491764985,train,0.029196533013860604,4.494118053491371
1,0–4,2001,0.5143021585962918,0.76961082549751,train,0.25530866690121823,49.64176459963608
1,0–4,2002,0.8499482475955908,0.7164501285430114,train,0.13349811905257947,15.706617365260863
1,0–4,2003,0.6927447646411605,0.6758368485296565,train,0.016907916111503996,2.440713661728247
1,0–4,2004,0.6534166673523508,0.5392646331958665,train,0.11415203415648434,17.47002178855174
1,0–4,2005,0.6390278911096473,0.5096802553558125,train,0.1293476357538348,20.24131302457356
1,0–4,2006,0.771010598411171,0.48547317406653,train,0.285537424344641,37.03417630484597
1,0–4,2007,0.5031416162518767,0.5366235023403598,train,0.033481886088483126,6.654565038349328
1,0–4,2008,0.8390200246112541,0.5083100365134504,train,0.3307099880978037,39.41622111475023
1,0–4,2009,0.5646538979598541,0.4512025832802263,train,0.11345131467962782,20.09218657473857
1,0–4,2010,0.3365087681242328,0.3789848591819226,train,0.04247609105768979,12.622580770914238
1,0–4,2011,0.3653420841461107,0.3064819504656538,train,0.058860133680456894,16.110964554775205
1,0–4,2012,0.3153649758285886,0.26786731653606877,train,0.04749765929251981,15.061171319904712
1,0–4,2013,0.5815562604134918,0.2985059675878556,train,0.28305029282563626,48.67117974525541
1,0–4,2014,0.2921597859053089,0.29797952663099,train,0.0058197407256810885,1.991971861441365
1,0–4,2015,0.23985404082102568,0.28426400700714305,train,0.04440996618611737,18.515412971197428
1,0–4,2016,0.2666065202357015,0.2893337272060359,train,0.022727206970334368,8.524625335585077
1,0–4,2017,0.23923661192046922,0.24810600483858042,train,0.008869392918111202,3.7073727331750144
1,0–4,2018,0.3153281817467552,0.32031112331819583,train,0.0049829415714406355,1.5802398453058377
1,0–4,2019,0.3668709264224634,0.30215436937076956,test,0.06471655705169382,17.640143274032752
1,0–4,2020,0.1820220465102733,0.2850268263682909,test,0.10300477985801762,56.58917797751716
1,0–4,2021,0.3129253013405459,0.2688701537520733,test,0.04405514758847262,14.07848691037255
1,0–4,2022,0.4469723799990902,0.2536293179830534,test,0.1933430620160368,43.25615422063224
1,0–4,2023,0.3186098415393953,0.23925240508422418,test,0.07935743645517113,24.907402756847603
6,25–29,1979,4.63600539958276,4.016855599398299,train,0.6191498001844611,13.355243292861232
6,25–29,1980,4.800042980201364,4.103605779880916,train,0.6964372003204478,14.508978423589697
6,25–29,1981,4.94333910624429,4.253073525529567,train,0.6902655807147227,13.963549048107952
6,25–29,1982,3.7938238197702754,3.9747227469244293,train,0.1808989271541539,4.768247966905004
6,25–29,1983,3.551928597455143,3.6709316306434494,train,0.11900303318830652,3.3503779685652706
6,25–29,1984,3.747908705580521,3.2679653147870367,train,0.47994339079348425,12.805631846871385
6,25–29,1985,3.0329819941968945,3.416644816682361,train,0.38366282248546657,12.649690081231654
6,25–29,1986,3.990094409261082,2.973859592675262,train,1.0162348165858202,25.46894164276215
6,25–29,1987,2.6410915102993764,2.901763114358903,train,0.2606716040595267,9.869843700719736
6,25–29,1988,2.8107411444515287,2.7424656966605294,train,0.06827544779099926,2.429090559469578
6,25–29,1989,2.64529535894649,2.312094190970815,train,0.333201167975675,12.59599109977553
6,25–29,1990,1.9052161533423075,1.9804044089276343,train,0.07518825558532671,3.9464422686856016
6,25–29,1991,1.715347472759149,1.97045851927388,train,0.25511104651473104,14.872266439660944
6,25–29,1992,1.793184362407683,1.9569512473893638,train,0.16376688498168068,9.132741084234821
6,25–29,1993,1.558797855094152,1.996090516956473,train,0.4372926618623212,28.05319884379162
6,25–29,1994,2.0308937011197203,1.8211403761128493,train,0.20975332500687105,10.328129182301609
6,25–29,1995,2.0004216761882505,1.808156293300213,train,0.1922653828880374,9.61124272830286
6,25–29,1996,1.783547980147837,1.7127375081376055,train,0.0708104720102316,3.9702028091423798
6,25–29,1997,1.056019599723771,1.4467181625856718,train,0.39069856286190086,36.99728328566042
6,25–29,1998,1.2227743656294858,1.6969755016682624,train,0.47420113603877656,38.78075541718257
6,25–29,1999,2.133740252686573,1.740865553799363,train,0.39287469888721005,18.412489448635796
6,25–29,2000,1.7494326492727703,1.5102251687981565,train,0.23920748047461382,13.673431816540699
6,25–29,2001,1.6162446813428146,1.5921349933945816,train,0.024109687948232983,1.4917102729892406
6,25–29,2002,0.8982656415316969,1.5562218566419097,train,0.6579562151102128,73.24739861899701
6,25–29,2003,1.1077547899317115,1.4783768123837668,train,0.37062202245205533,33.45704535160734
6,25–29,2004,1.2114186457830518,1.3552563960138602,train,0.14383775023080836,11.873496477168116
6,25–29,2005,0.8205033453744732,1.1688781484715371,train,0.3483748030970639,42.458669432733096
6,25–29,2006,1.1881395160945378,1.1881979867274972,train,5.847063295938426e-05,0.004921192517153169
6,25–29,2007,1.279803422194351,1.2498468299315275,train,0.029956592262823545,2.340718249640243
6,25–29,2008,1.2579490227594428,1.2401633475533897,train,0.01778567520605301,1.4138629534476899
6,25–29,2009,1.1569570224328325,1.09014179363236,train,0.06681522880047241,5.7750830415441285
6,25–29,2010,1.17387884787704,0.9529501141569084,train,0.22092873372013166,18.820403325239337
6,25–29,2011,0.8881879605566828,0.8634746596013193,train,0.024713300955363504,2.782440435228838
6,25–29,2012,0.7449926149158007,0.8690995057006003,train,0.12410689078479964,16.658808194874016
6,25–29,2013,1.1786634504687243,0.8978726185263046,train,0.2807908319424197,23.82281658354269
6,25–29,2014,0.9508135976124256,0.8650083707849753,train,0.08580522682745029,9.024400475857156
6,25–29,2015,1.1003958204282849,0.8077031151932113,train,0.2926927052350736,26.598856502486058
6,25–29,2016,0.6600783803471959,0.8682201463479902,train,0.20814176600079426,31.53288642650489
6,25–29,2017,1.191305849907376,0.7981076801814178,train,0.39319816972595834,33.00564416405153
6,25–29,2018,1.044677186914165,0.9336945601473567,train,0.11098262676680815,10.623628825918543
6,25–29,2019,1.2002355462259469,0.8994067397734936,test,0.30082880645245325,25.064147399932246
6,25–29,2020,1.2925385816782655,0.8663780620316741,test,0.4261605196465914,32.97081616652817
6,25–29,2021,1.2585813690335377,0.8345622877573659,test,0.4240190812761718,33.69023979766801
6,25–29,2022,1.44480368328619,0.8039148758147387,test,0.6408888074714512,44.35819308085903
6,25–29,2023,2.1329688225762498,0.7743929207404133,test,1.3585759018358363,63.69412845870463
12,55–59,1979,17.85788078610096,19.90287179014447,train,2.04499100404351,11.451476401584868
12,55–59,1980,19.26534806062163,20.264376991106058,train,0.9990289304844282,5.185626168501171
12,55–59,1981,18.859690783668334,21.09569479535907,train,2.236004011690735,11.855995081462398
12,55–59,1982,19.877870364480632,19.647387028516466,train,0.23048333596416626,1.1594971279016504
12,55–59,1983,19.251928699015856,18.00568898618949,train,1.246239712826366,6.473323957874791
12,55–59,1984,15.109544195416772,16.105518147674402,train,0.9959739522576303,6.591687607358416
12,55–59,1985,17.863501270226816,16.792081033510343,train,1.0714202367164738,5.9978176758786645
12,55–59,1986,14.15439662243611,14.572023491629055,train,0.41762686919294545,2.950509868650747
12,55–59,1987,14.63378941977025,14.177634234789016,train,0.45615518498123464,3.1171364565692667
12,55–59,1988,14.790857278087838,13.369500562118963,train,1.4213567159688747,9.609697999551164
12,55–59,1989,12.2016744122325,11.15701931397027,train,1.0446550982622291,8.56157165786144
12,55–59,1990,9.758749033306716,9.629944786468988,train,0.12880424683772773,1.3198848171842257
12,55–59,1991,9.482170427584046,9.571471951211626,train,0.08930152362757937,0.9417835748638028
12,55–59,1992,10.032905904517138,9.401200787694194,train,0.6317051168229444,6.296332516569605
12,55–59,1993,10.5500035332559,9.661772399306322,train,0.8882311339495779,8.419249634843066
12,55–59,1994,9.654552316458672,8.787209989625243,train,0.8673423268334286,8.98376536170217
12,55–59,1995,9.708303550098178,8.688480183992786,train,1.019823366105392,10.504650589495409
12,55–59,1996,7.407914986767612,8.233458293989136,train,0.8255433072215235,11.144071019931385
12,55–59,1997,7.268811414726074,6.953229672815528,train,0.3155817419105462,4.34158659380268
12,55–59,1998,8.148108338635383,8.15640677272614,train,0.008298434090756146,0.10184491597157554
12,55–59,1999,8.436591082606755,8.320557127269344,train,0.11603395533741079,1.3753654076778885
12,55–59,2000,7.715683493018512,7.235756257968323,train,0.4799272350501891,6.220151921530325
12,55–59,2001,7.495052878757088,7.691223086496015,train,0.1961702077389269,2.6173292025053465
12,55–59,2002,6.090559187608535,7.471740461195319,train,1.381181273586784,22.677413206932588
12,55–59,2003,6.140550050481034,7.108306123474264,train,0.9677560729932306,15.760087696336248
12,55–59,2004,5.629053605065599,6.410351229595261,train,0.7812976245296621,13.879733243729826
12,55–59,2005,4.950018018065586,5.645032965330955,train,0.6950149472653688,14.040654897191127
12,55–59,2006,5.8393567567704805,5.678582782049093,train,0.16077397472138788,2.7532822777950234
12,55–59,2007,6.960777848606745,6.002600241638088,train,0.9581776069686567,13.765381223313188
12,55–59,2008,6.70045498440381,5.91737307237581,train,0.7830819120279999,11.686996089828618
12,55–59,2009,5.771718353724852,5.24191262764014,train,0.529805726084712,9.179341291710728
12,55–59,2010,4.466277156462948,4.585052919838278,train,0.11877576337532947,2.659390790458546
12,55–59,2011,3.670013369334417,4.104559841518575,train,0.4345464721841581,11.840460196006484
12,55–59,2012,4.240937772316168,4.044238590072535,train,0.19669918224363325,4.638105834224654
12,55–59,2013,3.794224606422163,4.218729710419662,train,0.4245051039974994,11.188191212480557
12,55–59,2014,4.736504947068385,4.093257408747548,train,0.6432475383208365,13.580636893855006
12,55–59,2015,4.253820972061447,3.8470958711666374,train,0.4067251008948092,9.561406170267338
12,55–59,2016,3.8896680364999456,4.087523532222998,train,0.1978554957230525,5.086693616689447
12,55–59,2017,3.0854844020310095,3.734088429752218,train,0.6486040277212086,21.021141033617518
12,55–59,2018,4.650268130232872,4.399165395288824,train,0.2511027349440482,5.399747453518851
12,55–59,2019,3.7650140164923984,4.232149612101137,test,0.4671355956087382,12.407273746192741
12,55–59,2020,3.378834977699689,4.071474638891564,test,0.6926396611918748,20.49936341263473
12,55–59,2021,4.204017873304137,3.916899744691971,test,0.2871181286121658,6.829612462767814
12,55–59,2022,4.140904235454882,3.7681933379658368,test,0.3727108974890454,9.00071279837513
12,55–59,2023,4.816564735009296,3.6251326196266316,test,1.1914321153826641,24.736138325365303
17,≥80,1979,50.671518263462936,47.01145325491217,train,3.6600650085507667,7.223120865493946
17,≥80,1980,46.75424684408834,47.88245173854497,train,1.1282048944566299,2.4130532959259536
17,≥80,1981,65.51477139712433,48.42173510845459,train,17.093036288669744,26.090354776724467
17,≥80,1982,40.50476452951837,46.953955020421745,train,6.449190490903376,15.922054024541843
17,≥80,1983,57.306819912316556,45.61376412370533,train,11.693055788611225,20.40430058150569
17,≥80,1984,34.84792751631076,42.37852375032037,train,7.530596234009607,21.60988262640546
17,≥80,1985,29.984483030031956,43.666965959618004,train,13.682482929586048,45.631878715007026
17,≥80,1986,32.10255838818626,40.67533008789583,train,8.57277169970957,26.70432554330109
17,≥80,1987,28.6206528875994,40.352872300903705,train,11.732219413304303,40.99214458656733
17,≥80,1988,32.397153762782146,39.28118712863948,train,6.884033365857334,21.24888320827033
17,≥80,1989,30.573466511353455,36.45554717605431,train,5.8820806647008546,19.2391682589102
17,≥80,1990,33.88150258189599,32.9678547103635,train,0.9136478715324898,2.6965978540180866
17,≥80,1991,35.30377146055837,32.943576716822044,train,2.3601947437363293,6.685389821235263
17,≥80,1992,33.778939150109146,33.53138040705227,train,0.24755874305687797,0.732878975141166
17,≥80,1993,37.38623118514353,33.408442358944306,train,3.977788826199223,10.639716013364591
17,≥80,1994,33.14099168997377,31.949931217361687,train,1.1910604726120795,3.593919227747232
17,≥80,1995,35.82314296469903,32.0807214157627,train,3.7424215489363277,10.446938038418901
17,≥80,1996,36.12032212221696,31.107051691345063,train,5.0132704308718985,13.879362465010592
17,≥80,1997,34.487317289066944,28.344362259499366,train,6.142955029567577,17.812214786317977
17,≥80,1998,35.30523740687202,30.95774755730388,train,4.347489849568138,12.3140082573752
17,≥80,1999,41.49802621729732,31.74205022464468,train,9.755975992652644,23.509494021636456
17,≥80,2000,37.56069410172729,29.203300057196767,train,8.357394044530526,22.250371683483337
17,≥80,2001,33.962103952339845,29.592947539061754,train,4.369156413278091,12.864799010713455
17,≥80,2002,33.366998918371785,29.57190423053008,train,3.7950946878417042,11.373796897725
17,≥80,2003,36.0244288008951,28.663068546185585,train,7.361360254709517,20.434356628929002
17,≥80,2004,31.60733290123309,28.199984322893673,train,3.407348578339416,10.780247067940635
17,≥80,2005,27.789982837807894,24.954673303177287,train,2.835309534630607,10.202631470405972
17,≥80,2006,25.884230121443135,25.699022155067112,train,0.18520796637602288,0.7155243385917514
17,≥80,2007,26.651335164844372,26.177908277065754,train,0.4734268877786185,1.7763721211352792
17,≥80,2008,24.146147736298648,26.397601665966466,train,2.251453929667818,9.324277952144024
17,≥80,2009,24.613210196815082,24.213786821052615,train,0.399423375762467,1.6228008153692681
17,≥80,2010,19.30223848347786,22.450224339801014,train,3.147985856323153,16.30891597893029
17,≥80,2011,18.886522329521565,21.76362591213594,train,2.8771035826143745,15.23363344726079
17,≥80,2012,20.255617955215225,22.763950009403512,train,2.508332054188287,12.3833894366203
17,≥80,2013,20.534640407835813,22.74690337298302,train,2.2122629651472074,10.7733221581179
17,≥80,2014,20.569390283857587,21.977514578823854,train,1.4081242949662673,6.845726954149598
