gr_et,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,3.1184516871584194,3.136340332871294,3.3883620069781824,3.026352035433109,2.5848870512282973,2.2870942358439086,2.3818433189765864,1.941355154345414,1.84286777492944,1.6843381081731421,1.2537029839339358,1.0747220325451834,1.0600070810714786,0.9749797289201235,1.0530147892451263,0.9127191852635924,0.8792325590560998,0.8205040073002478,0.6548789773497067,0.8096389984905675,0.8065375791528041,0.6788575491764985,0.76961082549751,0.7164501285430114,0.6758368485296565,0.5392646331958665,0.5096802553558125,0.48547317406653,0.5366235023403598,0.5083100365134504,0.4512025832802263,0.3789848591819226,0.3064819504656538,0.26786731653606877,0.2985059675878556,0.29797952663099,0.28426400700714305,0.2893337272060359,0.24810600483858042,0.32031112331819583,0.30215436937076956,0.2850268263682909,0.2688701537520733,0.2536293179830534,0.23925240508422418
2,1.3871693209121276,1.0814698003860717,1.4714926939779878,1.1728623874583446,0.6879177943260105,1.0037311594835807,0.8124972139949806,0.6827842603312992,0.558452282605806,0.4839484714015501,0.24456436671929244,0.445231132506793,0.413275180635891,0.18660127736049492,0.31914856078186493,0.261581899986601,0.19451702084249292,0.20388755972955722,0.21156281353338147,0.20216716151991093,0.1339324129906248,0.1666329324705879,0.2965211600437214,0.19193786942752125,0.21647274692344592,0.06826524361271402,0.3196191588279497,0.1496517497907691,0.20981974985783872,0.13149313908252633,0.23865568749654736,0.2599639868993252,0.11205889451725642,0.024126592799642445,0.047928308595656284,0.0808116187390125,0.1319962837254042,0.05587724775773044,0.03659952035411615,0.057768987750025806,0.05324775088412221,0.04908036447663523,0.04523913474583301,0.04169853533842267,0.038435037697749946
3,0.7448248370403783,0.6811501491328332,0.790039261306326,0.6907419655841248,0.5285835201326707,0.5753303758242062,0.5418870651715615,0.4637439927099043,0.42065445126501977,0.3832504708517094,0.26100743729556936,0.3039474775693799,0.2938835443735209,0.21106276104578167,0.2663426961400829,0.2321435974974789,0.20463856332171104,0.20188261281736816,0.18501679469762855,0.20005508131217306,0.17154199944320953,0.17215302034516897,0.22527948865783842,0.18580647187579277,0.18923954361209702,0.11170395750548354,0.19260606737482985,0.1424044207115498,0.16872679554583125,0.13858345575186692,0.1637356530255873,0.15630186197984225,0.10417146109043485,0.05562884788557564,0.07523512759715922,0.09117095847948817,0.10700031160547757,0.07851717979228805,0.06269556069601621,0.08318963433226063,0.07864298806674364,0.0743448342057151,0.0702815916453277,0.06644042154338267,0.0628091867517609
4,1.4639769862050915,1.499979843710552,1.551369068970835,1.4505918070433417,1.3440005373479613,1.188702606507968,1.2466868338583892,1.083232140434899,1.058382557784461,1.0002711162791873,0.845308323218792,0.7171269568321238,0.7139497834369102,0.7143952134629388,0.7252736176969593,0.6614803735765654,0.6585279059525513,0.6226610983769489,0.5235808457519289,0.6168407680989066,0.6357133282002738,0.5484051904463555,0.5756917886925391,0.5647549116972768,0.5352053782899727,0.49506476949795253,0.4191390749343828,0.42937101756375545,0.450739873292597,0.449182560297808,0.39133585001959437,0.34067415108680094,0.31044854172349795,0.31718591336642143,0.3257853544887507,0.3119960595657626,0.28946172610708076,0.3142999667195311,0.2894995414275209,0.33849931576314685,0.3260244894385452,0.3140094019807065,0.3024371104823618,0.2912912964387625,0.28055624273636665
5,2.933608843388742,3.0268821532703876,3.1094416454437726,2.9183333128944104,2.734364070689202,2.3867520144765932,2.5201240837965444,2.1902014211828034,2.1493657611289296,2.035299964636245,1.7411735286857177,1.4478965077772485,1.4440046002916527,1.4742303124578884,1.4771991706166658,1.3503609235918597,1.354245259338849,1.2768448909174095,1.0671713387746578,1.2648280785464865,1.318324044537474,1.12607063270537,1.166703105078396,1.156517409137767,1.0909428141100832,1.0365567908919273,0.8398870277463416,0.8776584761774566,0.9148267426887114,0.9223900183580026,0.788372608731869,0.6820227444951616,0.6331108336414482,0.6728492974585871,0.67975787234391,0.6416340285235198,0.586657946235911,0.652563246984212,0.6060483043235193,0.7037619734626058,0.6784665034620022,0.6540802340529045,0.6305704856402872,0.6079057532389316,0.5860556642541705
6,4.016855599398299,4.103605779880916,4.253073525529567,3.9747227469244293,3.6709316306434494,3.2679653147870367,3.416644816682361,2.973859592675262,2.901763114358903,2.7424656966605294,2.312094190970815,1.9804044089276343,1.97045851927388,1.9569512473893638,1.996090516956473,1.8211403761128493,1.808156293300213,1.7127375081376055,1.4467181625856718,1.6969755016682624,1.740865553799363,1.5102251687981565,1.5921349933945816,1.5562218566419097,1.4783768123837668,1.3552563960138602,1.1688781484715371,1.1881979867274972,1.2498468299315275,1.2401633475533897,1.09014179363236,0.9529501141569084,0.8634746596013193,0.8690995057006003,0.8978726185263046,0.8650083707849753,0.8077031151932113,0.8682201463479902,0.7981076801814178,0.9336945601473567,0.8994067397734936,0.8663780620316741,0.8345622877573659,0.8039148758147387,0.7743929207404133
7,5.583910391650247,5.818953410803585,5.938917962300176,5.579196029989394,5.278115319716093,4.502971804526316,4.806617906054237,4.146768668436531,4.086312780328329,3.8668322721010995,3.3276558549104185,2.675953786877467,2.6738608217382964,2.7982040614537675,2.7612992580814573,2.518712743290251,2.548257464210087,2.386951014510185,1.961614211349055,2.3630946133172186,2.501554522481404,2.094056085875513,2.140556012618826,2.1469715355720926,2.007877635454801,1.963427521284885,1.4937324149253626,1.6016118727267323,1.6593128298107742,1.6969429583512943,1.4061037151989606,1.19803618046825,1.1319704690443144,1.2642176377401202,1.2533112249321496,1.1594328843889496,1.0369917180099093,1.1935611356132323,1.1147956883126549,1.2945569909672157,1.2469330595571004,1.201061108831328,1.1568766872373422,1.1143177142547842,1.0733243931704057
8,7.8639962420657685,8.207247389821124,8.439807024769244,7.835727871498459,7.297414890684265,6.133593445119581,6.581592613281267,5.553751098733148,5.444953656396771,5.103734750936333,4.260217003418986,3.36077441263924,3.353860503514689,3.4868625420223287,3.4640636503263806,3.112027641355396,3.1386674533645893,2.917004335103364,2.337569410428351,2.8836571690991564,3.055636994723046,2.5074486420355853,2.5939942986012015,2.585006344498141,2.4009054491123853,2.298658190526313,1.7286360492503223,1.8482936717139815,1.9340813236126937,1.9692176377565942,1.6069388755034744,1.3424614472349787,1.2424234150600346,1.3741867283030895,1.3755863379811406,1.27001701091605,1.1280580308007329,1.3047806643548137,1.199766055893554,1.4311192582307317,1.369940104941635,1.3113763093703816,1.255316067158388,1.2016523534900425,1.1502827187712277
9,9.413046568134192,9.904111721936049,10.071454180332744,9.435028721183015,8.961652549546425,7.451364924145024,8.047153658415457,6.848196535800772,6.763391340025681,6.377217778935204,5.465909215635352,4.2363036377890895,4.238763699880177,4.528970756529137,4.41589830994056,4.000878711448277,4.0767657591703,3.7864791398847126,3.0397928068135167,3.744905830565853,4.022692390004562,3.2848885062533917,3.3287167752077673,3.3683158487840577,3.1184802696356635,3.11083992027917,2.225009500875936,2.4408811379348987,2.522492106356921,2.6100833606951404,2.0917901144698927,1.7466647192502798,1.6667091151836664,1.9427028821087589,1.8984170094870436,1.7228351891299705,1.5066568901485564,1.7923611965810256,1.6746959543551494,1.9610837924770226,1.8837697546225598,1.809503756057547,1.7381656304607214,1.669639948964457,1.6038158333847203
10,11.535678750179267,11.604005819125229,12.208011295443647,11.315189892894711,10.194820613913935,9.343430225502143,9.624150689287521,8.372518227086447,8.090766296149727,7.613832893170427,6.247664344917945,5.592801934149957,5.543267240404202,5.266394851534365,5.529379918635645,5.01919737307832,4.9032384553471475,4.673735030851945,4.000957165245415,4.631374671702471,4.634236601144571,4.1089417314059435,4.459052754305755,4.259409482258461,4.0878794353687855,3.53190009815825,3.3561625600630856,3.2652069622430338,3.4888503328390024,3.3735802460514877,3.0933655368856905,2.741688233703564,2.384848080726255,2.2003823761900385,2.3577634129869027,2.3451862983785436,2.261572607079897,2.304873565597196,2.0804924138626277,2.471301244757173,2.375573860836382,2.2835545364051972,2.1950996374833087,2.1100710938415475,2.0283361834865823
