age,N,age_label,MAE_x100k,MAPE_%,SMAPE_%,MSE_x100k,RMSE_x100k,MSE_logm,RMSE_logm
1,40,0–4,0.24632341828017604,20.97797315100992,20.656620428173785,0.1861410588863171,0.43144067829345567,0.07085478517036095,0.2661856216446729
2,40,5–9,0.036568662164837576,10.116410535391719,10.075533656281499,0.00338553290156469,0.05818533235760272,0.01576782338734763,0.12556999397685592
3,40,10–14,0.061621124292325836,27.336047816305005,25.577591356583895,0.006473083271259431,0.08045547384273757,0.10496841878545841,0.3239883003836071
4,40,15–19,0.08550651853813028,12.388286380018654,12.259678883016772,0.012610978846930129,0.11229861462605016,0.024475503774393427,0.15644648853327908
5,40,20–24,0.15096343554410657,10.471745045268097,10.454695055134492,0.04882178070366003,0.22095651315057455,0.017662430727571767,0.13290007798181222
6,40,25–29,0.27874475990160613,16.46191398698364,15.790671535562877,0.12787491026891268,0.3575960154544688,0.04057980502994485,0.2014442975860693
7,40,30–34,0.26759236983469425,9.940753641650497,9.722428799009473,0.136610699335799,0.36960884639818753,0.014868790371436158,0.12193764952399302
8,40,35–39,0.36873749570896,11.483820646152164,11.422768529782266,0.22945561142905535,0.479015251770813,0.01907545925543053,0.13811393577561437
9,40,40–44,0.36004089473971446,9.509610853758055,9.432743146909687,0.21321971725654704,0.46175720596060765,0.013383043928723077,0.11568510677145558
10,40,45–49,0.62738119051464,12.101088964528875,11.980128004910691,0.6808047388170123,0.8251089254256145,0.021716993965151615,0.1473668686141889
11,40,50–54,0.7465888153827639,10.229500858960288,10.145978372472335,0.9418072752989419,0.970467554995499,0.014087061952471109,0.11868892935935983
12,40,55–59,0.6827462051374243,8.098475467180695,8.002980899592826,0.7196941542022011,0.8483478969162362,0.008895312315154481,0.09431496336825075
13,40,60–64,0.9643971554548625,7.63806828690841,7.67425095989763,1.7447951857326855,1.3209069557439257,0.008986799550645675,0.09479873179872016
14,40,65–69,1.5604857011701594,8.330152842167946,8.284943371482541,5.139416788683688,2.2670281843602402,0.01065801640468567,0.10323766950433194
15,40,70–74,1.8639232828633303,7.573508969579594,7.596402812604361,6.3420714231424995,2.5183469624224735,0.008121422487730973,0.09011893523411699
16,40,75–79,3.0426957601173785,10.177179775651686,10.046428761010318,15.291498262991567,3.910434536338841,0.014151014031478153,0.11895803474956264
17,40,≥80,4.625903063771959,13.78656868042005,13.524381907563962,36.91676967176778,6.075917187698313,0.027192112141586254,0.16490030970736913
