trial,val_loss,epochs,seconds,units,stacked,dropout,lr,batch_size
2,0.005688676610589027,75,4.11,96,False,0.4,0.001,32
3,0.009252609685063362,75,3.94,96,False,0.2,0.0005,32
10,0.009399431757628918,120,5.74,32,False,0.0,0.0005,16
14,0.00960505846887827,120,4.82,32,False,0.0,0.001,32
6,0.014781109988689423,50,2.33,16,False,0.2,0.001,32
8,0.015150277875363827,120,3.56,32,False,0.0,0.0005,64
1,0.015752524137496948,120,12.66,96,True,0.0,0.0001,16
4,0.017454570159316063,18,1.11,96,False,0.2,0.001,64
9,0.02116323448717594,120,5.17,96,False,0.2,0.0001,64
7,0.02206610143184662,120,6.06,32,False,0.4,0.0001,16
12,0.023529935628175735,120,6.2,32,True,0.0,0.0001,32
11,0.026470571756362915,120,9.25,16,True,0.0,0.0001,16
13,0.02744416333734989,80,4.28,16,True,0.4,0.001,32
15,0.02835085056722164,17,1.67,96,False,0.0,0.001,16
5,0.039768993854522705,49,2.82,16,True,0.4,0.001,32
