dataset,year,age,cohort,obs_tasa_x100k,pred_tasa_x100k,abs_error_100k,rel_abs_error
train,1980,1,1979,1.207790306392833,0.7492407,0.4585496099626267,0.3796599521747644
train,1980,2,1978,7.931035806068268,6.5848007,1.346235085853424,0.16974265641610273
train,1980,3,1977,28.46405396613421,28.551777,0.08772291985211922,0.0030818842585278467
train,1980,4,1976,0.48299539252582724,0.70366526,0.2206698639744169,0.4568777826636517
train,1980,5,1975,5.7823810228472485,6.2535734,0.4711923948163257,0.08148760743272997
train,1980,6,1974,22.331235329956137,26.949934,4.618698675781168,0.20682683279886577
train,1980,7,1973,0.6572037295714196,0.6978891,0.04068536001293099,0.06190676982219975
train,1980,8,1972,5.046836444647921,6.2176557,1.1708192140740028,0.23199071872348934
train,1980,9,1971,27.400171111272677,23.72343,3.676740477727755,0.13418677068826687
train,1980,10,1970,1.0874481735426205,0.7287156,0.35873257495939903,0.3298847556021108
train,1980,11,1969,5.887997462914358,6.317178,0.4291803096076148,0.07289070899074611
train,1980,12,1968,31.607332901233104,7.625961,23.981372074359324,0.7587281137986488
train,1980,13,1967,1.2798034221943524,0.8412908,0.43851265023314023,0.34264062951240065
train,1980,14,1966,5.771718353724849,6.1020837,0.3303653292890667,0.057238643510004975
train,1980,15,1965,0.31536497582858874,1.4865855,1.1712205220275513,3.713857313883944
train,1980,16,1964,1.1263785140121492,0.99458957,0.13178894682770093,0.11700236216167954
train,1980,17,1963,5.903327766550417,6.3110595,0.40773170839465145,0.0690681128540553
train,1981,1,1980,0.9103304000138602,1.147054,0.2367235569716134,0.2600413618700959
train,1981,2,1979,9.622214642663804,8.940923,0.6812919055422224,0.07080406443246244
train,1981,3,1978,47.96573352438156,34.841915,13.123818393766328,0.27360820797403335
train,1981,4,1977,0.8452199941619447,1.0841317,0.23891172351994006,0.2826621769123481
train,1981,5,1976,7.829645518613234,8.502557,0.6729112822290508,0.08594402909164515
train,1981,6,1975,36.19104347072107,31.596405,4.594638441424195,0.1269551248264278
train,1981,7,1974,1.3089470269138221,1.0767192,0.2322278620654945,0.17741578329021743
train,1981,8,1973,7.210193847959018,8.456204,1.2460105664086578,0.17281235327136063
train,1981,9,1972,34.48731728906694,9.219031,25.268285955143597,0.7326834309363152
train,1981,10,1971,1.7494326492727692,1.1306757,0.618756975787967,0.35369008120708595
train,1981,11,1970,6.09055918760853,8.371934,2.2813747494642236,0.37457558151727527
train,1981,12,1969,0.6390278911096468,1.38465,0.745622100879489,1.166806819000621
train,1981,13,1968,1.388464635805726,1.2521325,0.13633210082495206,0.09818910565607625
