dataset,year,age,cohort,obs_tasa_x100k,pred_tasa_x100k,abs_error_100k,rel_abs_error
train,1983,1,1982,2.7878779958773414,3.7061376403237323,0.9182596444463909,0.3293758356011151
train,1983,2,1981,0.6414605851896592,0.9596949084555902,0.31823432326593104,0.4961089279886828
train,1983,3,1980,0.5964870048533107,0.7987418694271485,0.2022548645738378,0.3390767324817707
train,1983,4,1979,1.229935917380399,1.2632424298920049,0.03330651251160588,0.02707987630974894
train,1983,5,1978,2.665127117487218,2.931705274470546,0.26657815698332765,0.1000245561399591
train,1983,6,1977,3.5519285976502575,3.523154944999186,0.02877365265107157,0.008100853342068415
train,1983,7,1976,5.699226946259367,4.895826662663562,0.8034002835958054,0.14096653654456917
train,1983,8,1975,6.077241809774102,7.032375506907599,0.9551336971334967,0.15716565623523263
train,1983,9,1974,9.211835333723476,9.09057659909357,0.12125873462990633,0.01316336324271655
train,1983,10,1973,11.276075939312262,9.335436421468154,1.940639517844108,0.1721023810311708
train,1983,11,1972,15.38870774978634,17.11096296760249,1.7222552178161497,0.1119168188660903
train,1983,12,1971,19.251928725031235,18.64204598944148,0.6098827355897534,0.031679045995882796
train,1983,13,1970,24.809586420002784,23.442042210403763,1.3675442095990213,0.05512160446561821
train,1983,14,1969,28.464053994357737,29.908771067671033,1.4447170733132957,0.0507558436194515
train,1983,15,1968,47.965733341993705,44.09405718685283,3.871676155140875,0.08071754324146162
train,1983,16,1967,38.16899189848885,41.29909983304392,3.1301079345550704,0.08200656550949968
train,1983,17,1966,57.30682018538589,38.7809874649132,18.525832720472685,0.32327448391904895
train,1984,1,1983,2.206484396418515,2.622996267363187,0.4165118709446718,0.18876719528157548
train,1984,2,1982,0.9479013249756868,0.5983987052067923,0.3495026197688945,0.3687120278869643
train,1984,3,1981,0.6601180993349096,0.5554650732622006,0.10465302607270899,0.15853682269580516
train,1984,4,1980,1.3762376437950783,1.1453590386882637,0.23087860510681457,0.16776071062115536
train,1984,5,1979,2.602168448671957,2.48589054866306,0.11627790000889737,0.0446850011067486
train,1984,6,1978,3.74790869139481,3.3048805913921617,0.44302810000264836,0.1182067484780837
train,1984,7,1977,5.281536534284221,5.291568073904052,0.010031539619830276,0.0018993600734767801
train,1984,8,1976,5.291702229429829,5.63815091387612,0.3464486844462913,0.06547017753936525
train,1984,9,1975,6.12780026433015,8.553061143402969,2.4252608790728187,0.395780014761551
train,1984,10,1974,8.403945078876436,10.493688834541787,2.089743755665351,0.24866223375468444
train,1984,11,1973,13.72630347872315,14.386684687948831,0.6603812092256813,0.048110637379486475
train,1984,12,1972,15.10954437718331,18.079407440319514,2.969863063136204,0.1965554346973395
train,1984,13,1971,22.558411883564393,23.40324361501655,0.8448317314521567,0.03745085140801276
train,1984,14,1970,29.397783362383397,26.95429339787028,2.443489964513116,0.08311817031891106
train,1984,15,1969,44.90899341662225,45.58898444201263,0.6799910253903789,0.01514153343589922
train,1984,16,1968,38.25014676862099,36.433473067898944,1.816673700722049,0.047494555032984435
train,1984,17,1967,34.8479274336343,54.924151438146225,20.07622400451193,0.5761095560918298
train,1985,1,1984,2.4037957544528585,2.0797186036481,0.3240771508047584,0.13481892136812954
train,1985,2,1983,0.928305031431187,0.8857821430901961,0.04252288834099094,0.04580702129276055
train,1985,3,1982,0.42407614812765143,0.6159551486148553,0.1918790004872039,0.45246355243962894
train,1985,4,1981,1.5365782504262033,1.2836382011896479,0.25294004923655544,0.16461254034165354
train,1985,5,1980,1.9183726029251684,2.4298633945604475,0.5114907916352791,0.26662744810631794
