age_group,target_year,lag,feature_period,cohort_year,abs_shap
3,1998,10,1988,1976,0.22872439376969234
3,1998,9,1989,1977,0.33732611611148383
3,1998,8,1990,1978,0.23823615393761774
3,1998,7,1991,1979,0.22822455086307739
3,1998,6,1992,1980,0.22348443318532404
3,1998,5,1993,1981,0.1939956906339416
3,1998,4,1994,1982,0.14382731574186916
3,1998,3,1995,1983,0.08659496870905238
3,1998,2,1996,1984,0.05499890097504153
3,1998,1,1997,1985,0.01789029474935627
10,2017,10,2007,1960,0.033340220563763914
10,2017,9,2008,1961,0.034907807297923345
10,2017,8,2009,1962,0.045024016758659864
10,2017,7,2010,1963,0.04031598864205282
10,2017,6,2011,1964,0.05154084235285274
10,2017,5,2012,1965,0.050432296639870214
10,2017,4,2013,1966,0.0340480219796189
10,2017,3,2014,1967,0.02685652574774489
10,2017,2,2015,1968,0.015085775750153338
10,2017,1,2016,1969,0.0069871868678435265
14,1998,10,1988,1921,0.1509818166613742
14,1998,9,1989,1922,0.14712085416050444
14,1998,8,1990,1923,0.13974282037208052
14,1998,7,1991,1924,0.13315784264669656
14,1998,6,1992,1925,0.1252652264521937
14,1998,5,1993,1926,0.1218755942307494
14,1998,4,1994,1927,0.07122234140677265
14,1998,3,1995,1928,0.05255948952253954
14,1998,2,1996,1929,0.034188212769257584
14,1998,1,1997,1930,0.011460373009211341
12,2011,10,2001,1944,0.04781101554677644
12,2011,9,2002,1945,0.036862213925791136
12,2011,8,2003,1946,0.03340015902060506
12,2011,7,2004,1947,0.027596181329786914
12,2011,6,2005,1948,0.014821717663819619
12,2011,5,2006,1949,0.028191131994771263
12,2011,4,2007,1950,0.03037670870785717
12,2011,3,2008,1951,0.019869863369080826
12,2011,2,2009,1952,0.009784635062540138
12,2011,1,2010,1953,0.0009131974990309619
5,2017,10,2007,1985,0.1610929190895172
5,2017,9,2008,1986,0.14370790081773588
5,2017,8,2009,1987,0.14378250408780185
5,2017,7,2010,1988,0.19775795205246433
5,2017,6,2011,1989,0.1370307997860504
5,2017,5,2012,1990,0.1232706497275743
5,2017,4,2013,1991,0.0977951715110565
5,2017,3,2014,1992,0.048251494203084395
5,2017,2,2015,1993,0.03921426282038123
5,2017,1,2016,1994,0.010902324103802017
13,2003,10,1993,1931,0.1001989242460852
13,2003,9,1994,1932,0.09962072001230211
13,2003,8,1995,1933,0.09634270335214638
13,2003,7,1996,1934,0.10568302410756733
13,2003,6,1997,1935,0.08080122176977987
13,2003,5,1998,1936,0.08541632645208351
13,2003,4,1999,1937,0.06751170470656478
13,2003,3,2000,1938,0.03712051210175862
13,2003,2,2001,1939,0.029760368268552526
13,2003,1,2002,1940,0.00957627055642847
5,2013,10,2003,1981,0.1395060162000349
5,2013,9,2004,1982,0.12255431145856087
5,2013,8,2005,1983,0.1805359545743152
5,2013,7,2006,1984,0.14484550625133125
5,2013,6,2007,1985,0.12637232642221677
5,2013,5,2008,1986,0.09519128930358778
5,2013,4,2009,1987,0.07093694284722402
5,2013,3,2010,1988,0.06809597953095571
5,2013,2,2011,1989,0.032477954266711115
5,2013,1,2012,1990,0.011432329828965467
4,2004,10,1994,1977,0.1848226534397467
4,2004,9,1995,1978,0.2164413304537936
4,2004,8,1996,1979,0.1495665776922208
4,2004,7,1997,1980,0.19671100408322223
4,2004,6,1998,1981,0.1622761623016264
4,2004,5,1999,1982,0.13156685911886212
4,2004,4,2000,1983,0.0966604581478584
4,2004,3,2001,1984,0.061485614761754494
4,2004,2,2002,1985,0.030962296307818635
4,2004,1,2003,1986,0.012740492099777822
15,1995,10,1985,1913,0.19571164982818412
15,1995,9,1986,1914,0.18683051702292236
15,1995,8,1987,1915,0.1872797751418566
15,1995,7,1988,1916,0.18010658917695824
15,1995,6,1989,1917,0.1703853796262125
15,1995,5,1990,1918,0.1292688575886589
15,1995,4,1991,1919,0.10855058562540856
15,1995,3,1992,1920,0.0747710512331096
15,1995,2,1993,1921,0.04296560749924185
15,1995,1,1994,1922,0.01572436725805396
1,2005,10,1995,1993,0.20337552390906885
1,2005,9,1996,1994,0.22822576992714907
1,2005,8,1997,1995,0.2505277243479713
1,2005,7,1998,1996,0.1693970570215762
1,2005,6,1999,1997,0.1530100898876165
1,2005,5,2000,1998,0.12384254473071571
1,2005,4,2001,1999,0.101435661204721
1,2005,3,2002,2000,0.04685718422609252
1,2005,2,2003,2001,0.03299140401081818
1,2005,1,2004,2002,0.01084707662721891
9,1991,10,1981,1939,0.06777084063497624
9,1991,9,1982,1940,0.07719622231665099
9,1991,8,1983,1941,0.0683241990227918
9,1991,7,1984,1942,0.03725329420157144
9,1991,6,1985,1943,0.06092474757389557
9,1991,5,1986,1944,0.0437660558908099
9,1991,4,1987,1945,0.029246045745432492
9,1991,3,1988,1946,0.014459804566632503
9,1991,2,1989,1947,0.006993611729419279
9,1991,1,1990,1948,0.00010960028333485788
15,2005,10,1995,1923,0.12729449243716046
15,2005,9,1996,1924,0.1396915574422708
15,2005,8,1997,1925,0.13112672696716815
15,2005,7,1998,1926,0.13949948450786614
15,2005,6,1999,1927,0.143559076566179
15,2005,5,2000,1928,0.10527728363715985
15,2005,4,2001,1929,0.09291635817076474
15,2005,3,2002,1930,0.05783421078396012
15,2005,2,2003,1931,0.039455539659338276
15,2005,1,2004,1932,0.013918967970676464
2,1997,10,1987,1980,0.18760325160991048
2,1997,9,1988,1981,0.2356289925393308
2,1997,8,1989,1982,0.29148853730429175
2,1997,7,1990,1983,0.20262051588885627
2,1997,6,1991,1984,0.174687963146269
2,1997,5,1992,1985,0.21678736129862475
2,1997,4,1993,1986,0.11175611825937411
2,1997,3,1994,1987,0.07721134358500353
2,1997,2,1995,1988,0.05485664356758248
2,1997,1,1996,1989,0.016352251274880818
12,2001,10,1991,1934,0.06773878982798794
12,2001,9,1992,1935,0.08021601123917509
12,2001,8,1993,1936,0.0802581261900948
12,2001,7,1994,1937,0.07596075297132984
12,2001,6,1995,1938,0.07338828330886155
12,2001,5,1996,1939,0.04679327621038572
12,2001,4,1997,1940,0.034315203337338784
12,2001,3,1998,1941,0.027529555103135504
12,2001,2,1999,1942,0.019499681113535394
12,2001,1,2000,1943,0.005969264917282597
11,2001,10,1991,1939,0.04062954561940806
11,2001,9,1992,1940,0.0399952154100192
11,2001,8,1993,1941,0.06848277568830816
11,2001,7,1994,1942,0.055049631763622875
11,2001,6,1995,1943,0.0479674311469397
11,2001,5,1996,1944,0.04606170017283319
11,2001,4,1997,1945,0.02604212096697163
11,2001,3,1998,1946,0.02239286410966738
11,2001,2,1999,1947,0.009880767017137254
11,2001,1,2000,1948,0.0014848392350776593
9,2001,10,1991,1949,0.00841615721124733
9,2001,9,1992,1950,0.0008829241330136643
9,2001,8,1993,1951,0.007215578752030293
9,2001,7,1994,1952,0.0020767748073142727
9,2001,6,1995,1953,0.01319241960452766
9,2001,5,1996,1954,0.00395482403997125
9,2001,4,1997,1955,0.00934820414082117
9,2001,3,1998,1956,0.005420192499050047
9,2001,2,1999,1957,0.004748423783274902
9,2001,1,2000,1958,0.0014088732171138505
2,1996,10,1986,1979,0.1874411858769416
2,1996,9,1987,1980,0.18665900631988025
2,1996,8,1988,1981,0.22498838812395863
2,1996,7,1989,1982,0.2582545547784559
2,1996,6,1990,1983,0.18237623808138997
2,1996,5,1991,1984,0.1460415748962765
2,1996,4,1992,1985,0.1532259077120958
2,1996,3,1993,1986,0.07160429205610196
2,1996,2,1994,1987,0.047015647776447095
2,1996,1,1995,1988,0.017052653380226154
17,1990,10,1980,1898,0.20048449277607638
17,1990,9,1981,1899,0.2384091240941615
17,1990,8,1982,1900,0.1986803395203646
17,1990,7,1983,1901,0.2280271517334854
17,1990,6,1984,1902,0.18770026174550977
17,1990,5,1985,1903,0.15082876386160457
17,1990,4,1986,1904,0.1194430878414285
17,1990,3,1987,1905,0.07517161924013917
17,1990,2,1988,1906,0.05126248002432232
17,1990,1,1989,1907,0.018121592664185712
16,1992,10,1982,1905,0.19466001842853217
16,1992,9,1983,1906,0.19921146798895115
16,1992,8,1984,1907,0.1940624329797803
16,1992,7,1985,1908,0.21762712363498105
16,1992,6,1986,1909,0.21058955340971455
16,1992,5,1987,1910,0.1716631588740495
16,1992,4,1988,1911,0.1330788124343898
16,1992,3,1989,1912,0.07765496996136774
16,1992,2,1990,1913,0.05306918872272718
16,1992,1,1991,1914,0.017714293542613738
16,1999,10,1989,1912,0.16864653486430262
16,1999,9,1990,1913,0.19112400574245986
16,1999,8,1991,1914,0.17102276760056667
16,1999,7,1992,1915,0.18562029845759803
16,1999,6,1993,1916,0.18488378970507588
16,1999,5,1994,1917,0.13974510637150414
16,1999,4,1995,1918,0.11142795604883529
16,1999,3,1996,1919,0.07500412568024971
16,1999,2,1997,1920,0.04707469807075161
16,1999,1,1998,1921,0.018006639588779443
2,1992,10,1982,1975,0.14260101533435351
2,1992,9,1983,1976,0.20668227217432528
2,1992,8,1984,1977,0.1473075931199702
2,1992,7,1985,1978,0.1327558417136387
2,1992,6,1986,1979,0.14823728310504178
2,1992,5,1987,1980,0.12313388088074627
2,1992,4,1988,1981,0.10878870820661729
2,1992,3,1989,1982,0.08901313320444217
2,1992,2,1990,1983,0.04311948698305241
2,1992,1,1991,1984,0.013294959239912996
7,2002,10,1992,1960,0.046946457953520995
7,2002,9,1993,1961,0.04605588276836563
7,2002,8,1994,1962,0.05622032254092049
7,2002,7,1995,1963,0.04951303693730884
7,2002,6,1996,1964,0.056707506941018046
7,2002,5,1997,1965,0.06523564032086406
7,2002,4,1998,1966,0.033900540012529984
7,2002,3,1999,1967,0.02443081957585964
7,2002,2,2000,1968,0.02257205069165987
7,2002,1,2001,1969,0.006443877365454915
17,2011,10,2001,1919,0.17319217769928008
17,2011,9,2002,1920,0.1849588425052578
17,2011,8,2003,1921,0.1851671446306366
17,2011,7,2004,1922,0.17996121524074787
17,2011,6,2005,1923,0.16706972469540982
